i0,i1,i2,i3
7.0,7.0,56044.0,83121.0
1.0,8.0,20077.0,47183.0
48.0,24.0,20011.0,38142.0
40.0,24.0,20018.0,38181.0
45.0,38.0,38014.0,56131.0
59.0,46.0,29086.0,56162.0
49.0,8.0,11040.0,201182.0
7.0,65.0,20057.0,47157.0
5.0,67.0,11006.0,201131.0
62.0,20.0,11005.0,201192.0
1.0,47.0,10043.0,182204.0
81.0,52.0,20051.0,47149.0
59.0,95.0,20065.0,38188.0
7.0,36.0,11062.0,38196.0
7.0,21.0,20050.0,47148.0
85.0,68.0,11033.0,201211.0
7.0,99.0,11045.0,201194.0
51.0,95.0,29059.0,47161.0
59.0,90.0,20050.0,47145.0
65.0,11.0,29027.0,29120.0
51.0,59.0,11070.0,38204.0
7.0,62.0,29043.0,56111.0
64.0,48.0,20063.0,38203.0
81.0,34.0,11032.0,38147.0
1.0,44.0,20081.0,38213.0
59.0,55.0,20078.0,47183.0
64.0,79.0,29017.0,47162.0
7.0,1.0,20017.0,38163.0
65.0,7.0,20010.0,38148.0
64.0,31.0,56047.0,83129.0
20.0,81.0,10994.0,201154.0
71.0,71.0,56054.0,74181.0
66.0,26.0,9985.0,182171.0
61.0,83.0,11032.0,201179.0
75.0,11.0,11012.0,38140.0
7.0,52.0,20026.0,47143.0
18.0,58.0,83036.0,101141.0
7.0,75.0,11059.0,38195.0
59.0,17.0,38031.0,56146.0
71.0,71.0,47063.0,74164.0
7.0,53.0,29025.0,47155.0
23.0,89.0,11082.0,38187.0
18.0,85.0,74031.0,92154.0
7.0,53.0,20033.0,47120.0
18.0,71.0,83034.0,110125.0
34.0,99.0,11040.0,192240.0
71.0,54.0,47063.0,65152.0
57.0,25.0,11005.0,201176.0
18.0,30.0,11054.0,38157.0
2.0,54.0,11053.0,38191.0
71.0,19.0,20065.0,38212.0
40.0,19.0,20041.0,47157.0
88.0,66.0,11033.0,201159.0
87.0,97.0,11049.0,38210.0
18.0,84.0,47037.0,65140.0
18.0,50.0,56031.0,74125.0
4.0,12.0,11036.0,201177.0
1.0,8.0,29061.0,47193.0
7.0,37.0,38032.0,56139.0
33.0,26.0,10992.0,192166.0
51.0,81.0,11068.0,38169.0
18.0,20.0,29014.0,47134.0
51.0,59.0,20058.0,38192.0
94.0,49.0,11051.0,38160.0
90.0,47.0,10027.0,182186.0
71.0,62.0,38044.0,56185.0
43.0,33.0,11017.0,38136.0
59.0,31.0,47017.0,74119.0
7.0,86.0,56032.0,74144.0
42.0,50.0,11073.0,38187.0
45.0,38.0,29025.0,56133.0
64.0,37.0,29048.0,56164.0
65.0,11.0,38019.0,65114.0
5.0,38.0,20079.0,47177.0
88.0,92.0,10020.0,182230.0
97.0,61.0,9967.0,182164.0
37.0,92.0,11052.0,38198.0
10.0,86.0,20050.0,38194.0
57.0,17.0,20031.0,38170.0
1.0,10.0,29077.0,56165.0
71.0,54.0,38069.0,65156.0
59.0,55.0,29060.0,47196.0
10.0,86.0,11050.0,38187.0
17.0,66.0,11049.0,201222.0
64.0,29.0,11067.0,38160.0
0.0,60.0,20086.0,38209.0
18.0,71.0,92044.0,110132.0
7.0,21.0,29045.0,47153.0
5.0,32.0,38057.0,56156.0
0.0,60.0,11093.0,38204.0
43.0,33.0,20017.0,38178.0
45.0,60.0,20014.0,38148.0
57.0,17.0,11061.0,38178.0
56.0,59.0,11050.0,201231.0
60.0,54.0,10010.0,182182.0
71.0,7.0,29077.0,47178.0
84.0,57.0,11027.0,201195.0
64.0,37.0,38024.0,56162.0
37.0,44.0,10983.0,201185.0
61.0,27.0,11010.0,38134.0
