i0,i1,i2
64.0,38039.0,65151.0
64.0,29013.0,47176.0
64.0,11064.0,38197.0
10.0,11052.0,38198.0
7.0,29025.0,56146.0
48.0,19993.0,38155.0
20.0,10980.0,201166.0
64.0,20034.0,47137.0
64.0,20066.0,47188.0
42.0,20042.0,38222.0
64.0,56023.0,74157.0
18.0,74018.0,92157.0
7.0,11029.0,38159.0
0.0,20072.0,38213.0
59.0,47005.0,65130.0
12.0,11046.0,38188.0
57.0,20023.0,47139.0
75.0,11009.0,38141.0
61.0,20025.0,47132.0
59.0,29017.0,56147.0
73.0,11049.0,38221.0
59.0,20034.0,47159.0
15.0,10006.0,191185.0
81.0,20036.0,38201.0
45.0,20008.0,38149.0
77.0,11021.0,201199.0
87.0,11044.0,38224.0
40.0,11032.0,38159.0
23.0,11076.0,38207.0
0.0,11070.0,38212.0
61.0,29013.0,47145.0
56.0,11022.0,38171.0
18.0,20009.0,38195.0
7.0,29007.0,47145.0
65.0,38006.0,56141.0
18.0,29018.0,47147.0
5.0,38053.0,65194.0
7.0,38013.0,56136.0
18.0,56018.0,74138.0
3.0,11007.0,192200.0
81.0,20042.0,47171.0
7.0,29025.0,47145.0
71.0,56053.0,74203.0
18.0,64997.0,83165.0
64.0,11069.0,38163.0
18.0,65030.0,92165.0
57.0,10991.0,201186.0
62.0,11032.0,38171.0
23.0,20049.0,47206.0
8.0,10024.0,191193.0
87.0,20048.0,47175.0
7.0,11021.0,38155.0
83.0,20023.0,47128.0
51.0,11063.0,38212.0
64.0,29026.0,56173.0
18.0,47021.0,74156.0
1.0,20065.0,47184.0
64.0,11038.0,38160.0
40.0,29023.0,56158.0
5.0,38055.0,56169.0
5.0,29042.0,47213.0
34.0,11033.0,192245.0
83.0,11027.0,38138.0
97.0,20001.0,38147.0
18.0,83019.0,110139.0
5.0,11057.0,38208.0
87.0,20055.0,38204.0
92.0,11021.0,192231.0
59.0,38002.0,65159.0
7.0,29033.0,56124.0
7.0,20029.0,38162.0
65.0,38003.0,65130.0
5.0,20077.0,47182.0
40.0,38042.0,56184.0
61.0,11006.0,38154.0
18.0,11038.0,38167.0
18.0,29043.0,56145.0
61.0,20011.0,38168.0
17.0,11015.0,201221.0
1.0,29065.0,56164.0
59.0,29035.0,47204.0
85.0,11021.0,201229.0
68.0,10002.0,182231.0
67.0,9977.0,182184.0
83.0,10014.0,191177.0
7.0,20024.0,47139.0
64.0,38010.0,56167.0
7.0,20046.0,47167.0
43.0,20010.0,47120.0
18.0,83016.0,101159.0
75.0,19969.0,38176.0
40.0,9969.0,191107.0
7.0,20025.0,47152.0
64.0,20049.0,38228.0
71.0,56061.0,83183.0
5.0,10996.0,192172.0
41.0,10992.0,192188.0
51.0,20046.0,38201.0
1.0,11076.0,38214.0
7.0,38036.0,65140.0
64.0,20040.0,38202.0
13.0,11036.0,38167.0
51.0,11061.0,38195.0
97.0,10997.0,38141.0
28.0,11027.0,38178.0
5.0,10993.0,201143.0
57.0,11044.0,38184.0
7.0,29010.0,56168.0
1.0,29050.0,47204.0
51.0,29065.0,56160.0
23.0,20040.0,38237.0
64.0,11042.0,38172.0
51.0,29055.0,47175.0
56.0,11034.0,201237.0
51.0,29060.0,56192.0
64.0,20019.0,38181.0
96.0,10995.0,201153.0
7.0,11032.0,201206.0
5.0,20061.0,38215.0
97.0,9947.0,182169.0
61.0,11028.0,201198.0
7.0,11060.0,38182.0
51.0,20049.0,38216.0
64.0,56036.0,83145.0
88.0,10018.0,182238.0
7.0,19998.0,38167.0
7.0,56019.0,74141.0
57.0,20023.0,38178.0
56.0,20012.0,38182.0
40.0,9985.0,182149.0
71.0,29058.0,56190.0
7.0,47017.0,74145.0
62.0,11008.0,201211.0
61.0,20008.0,38152.0
81.0,11028.0,38162.0
88.0,11023.0,201185.0
18.0,74051.0,101146.0
17.0,11043.0,201230.0
64.0,47030.0,74135.0
7.0,29028.0,47178.0
64.0,20057.0,47181.0
18.0,20022.0,47140.0
10.0,20035.0,38207.0
33.0,10981.0,192171.0
65.0,29033.0,29131.0
77.0,20021.0,38192.0
7.0,20019.0,38187.0
59.0,38019.0,56152.0
57.0,11063.0,38200.0
92.0,11012.0,38176.0
81.0,29062.0,56173.0
3.0,11049.0,201201.0
65.0,19991.0,38157.0
71.0,38064.0,65170.0
5.0,10018.0,182209.0
