Stored fact information:
g4866(7.0,56.0) => Min Interval: 1200, Max Interval: 19800
g4866(8.0,49.0) => Min Interval: 1200, Max Interval: 19800
g4866(11.0,40.0) => Min Interval: 200, Max Interval: 19800
g4866(12.0,4.0) => Min Interval: 1200, Max Interval: 19800
g4866(22.0,15.0) => Min Interval: 200, Max Interval: 19800
g4866(24.0,44.0) => Min Interval: 1200, Max Interval: 19800
g4866(25.0,57.0) => Min Interval: 1200, Max Interval: 19800
g4866(26.0,8.0) => Min Interval: 1200, Max Interval: 19800
g4866(26.0,33.0) => Min Interval: 1200, Max Interval: 19800
g4866(26.0,66.0) => Min Interval: 0, Max Interval: 19800
g4866(31.0,38.0) => Min Interval: 1200, Max Interval: 19800
g4866(44.0,37.0) => Min Interval: 1200, Max Interval: 19800
g4866(49.0,8.0) => Min Interval: 200, Max Interval: 19800
g4866(54.0,60.0) => Min Interval: 200, Max Interval: 19800
g4866(57.0,84.0) => Min Interval: 1200, Max Interval: 19800
g4866(61.0,97.0) => Min Interval: 200, Max Interval: 19800
g4866(62.0,20.0) => Min Interval: 200, Max Interval: 19800
g4866(66.0,17.0) => Min Interval: 1200, Max Interval: 19800
g4866(66.0,88.0) => Min Interval: 1200, Max Interval: 19800
g4866(67.0,5.0) => Min Interval: 1200, Max Interval: 19800
g4866(68.0,3.0) => Min Interval: 1200, Max Interval: 19800
g4866(68.0,85.0) => Min Interval: 1200, Max Interval: 19800
g4866(78.0,48.0) => Min Interval: 1200, Max Interval: 19800
g4866(81.0,20.0) => Min Interval: 1200, Max Interval: 19800
g4866(83.0,61.0) => Min Interval: 1200, Max Interval: 19800
g4866(85.0,68.0) => Min Interval: 200, Max Interval: 19800
g4866(88.0,92.0) => Min Interval: 1200, Max Interval: 19800
g4866(92.0,88.0) => Min Interval: 200, Max Interval: 19800
g4866(93.0,5.0) => Min Interval: 200, Max Interval: 19800
g4866(94.0,77.0) => Min Interval: 1200, Max Interval: 19800
g4866(95.0,97.0) => Min Interval: 200, Max Interval: 19800
g4866(97.0,95.0) => Min Interval: 1200, Max Interval: 19800
g4866(98.0,41.0) => Min Interval: 1200, Max Interval: 19800
g4866(99.0,7.0) => Min Interval: 1200, Max Interval: 19800
g4866(99.0,34.0) => Min Interval: 1200, Max Interval: 19800
