Stored fact information:
Employee(ID7) => Min Interval: 2, Max Interval: 44
Employee(ID15) => Min Interval: 4, Max Interval: 20
Employee(ID16) => Min Interval: 5, Max Interval: 99
Employee(ID17) => Min Interval: 10, Max Interval: 43
Employee(ID21) => Min Interval: 18, Max Interval: 52
Employee(ID22) => Min Interval: 1, Max Interval: 49
Employee(ID26) => Min Interval: 11, Max Interval: 99
Employee(ID27) => Min Interval: 12, Max Interval: 50
Employee(ID31) => Min Interval: 11, Max Interval: 43
Employee(ID35) => Min Interval: 15, Max Interval: 44
Employee(ID43) => Min Interval: 23, Max Interval: 40
Employee(ID46) => Min Interval: 3, Max Interval: 40
Employee(ID61) => Min Interval: 14, Max Interval: 39
Employee(ID65) => Min Interval: 5, Max Interval: 53
Employee(ID67) => Min Interval: 10, Max Interval: 39
Employee(ID70) => Min Interval: 4, Max Interval: 33
Employee(ID80) => Min Interval: 12, Max Interval: 38
Employee(ID89) => Min Interval: 6, Max Interval: 46
Employee(ID96) => Min Interval: 2, Max Interval: 41
Employee(ID105) => Min Interval: 18, Max Interval: 40
Employee(ID106) => Min Interval: 18, Max Interval: 30
Employee(ID122) => Min Interval: 5, Max Interval: 48
Employee(ID131) => Min Interval: 10, Max Interval: 33
Employee(ID136) => Min Interval: 14, Max Interval: 51
Employee(ID144) => Min Interval: 6, Max Interval: 45
Employee(ID157) => Min Interval: 43, Max Interval: 43
Employee(ID160) => Min Interval: 1, Max Interval: 45
Employee(ID175) => Min Interval: 3, Max Interval: 99
Employee(ID183) => Min Interval: 15, Max Interval: 44
Employee(ID190) => Min Interval: 18, Max Interval: 48
Employee(ID208) => Min Interval: 1, Max Interval: 48
Employee(ID209) => Min Interval: 7, Max Interval: 50
Employee(ID222) => Min Interval: 14, Max Interval: 35
Employee(ID226) => Min Interval: 2, Max Interval: 47
Employee(ID238) => Min Interval: 20, Max Interval: 35
Employee(ID246) => Min Interval: 26, Max Interval: 44
Employee(ID252) => Min Interval: 16, Max Interval: 39
Employee(ID265) => Min Interval: 11, Max Interval: 45
Employee(ID269) => Min Interval: 22, Max Interval: 50
Employee(ID288) => Min Interval: 0, Max Interval: 25
Employee(ID289) => Min Interval: 13, Max Interval: 50
Employee(ID294) => Min Interval: 10, Max Interval: 37
Employee(ID295) => Min Interval: 16, Max Interval: 47
Employee(ID302) => Min Interval: 2, Max Interval: 44
Employee(ID320) => Min Interval: 15, Max Interval: 48
Employee(ID336) => Min Interval: 4, Max Interval: 52
Employee(ID337) => Min Interval: 21, Max Interval: 36
Employee(ID363) => Min Interval: 9, Max Interval: 37
Employee(ID374) => Min Interval: 9, Max Interval: 29
Employee(ID395) => Min Interval: 10, Max Interval: 30
Employee(ID409) => Min Interval: 4, Max Interval: 50
Employee(ID417) => Min Interval: 5, Max Interval: 99
Employee(ID434) => Min Interval: 6, Max Interval: 32
Employee(ID451) => Min Interval: 16, Max Interval: 49
Employee(ID482) => Min Interval: 21, Max Interval: 44
Employee(ID501) => Min Interval: 33, Max Interval: 49
Employee(ID510) => Min Interval: 19, Max Interval: 41
