Stored fact information:
Organization(ID24) => Min Interval: 0, Max Interval: 50
Organization(ID38) => Min Interval: 0, Max Interval: 29
Organization(ID41) => Min Interval: 2, Max Interval: 42
Organization(ID44) => Min Interval: 5, Max Interval: 27
Organization(ID45) => Min Interval: 18, Max Interval: 49
Organization(ID48) => Min Interval: 9, Max Interval: 22
Organization(ID51) => Min Interval: 10, Max Interval: 50
Organization(ID57) => Min Interval: 20, Max Interval: 48
Organization(ID87) => Min Interval: 1, Max Interval: 48
Organization(ID93) => Min Interval: 1, Max Interval: 47
Organization(ID98) => Min Interval: 7, Max Interval: 44
Organization(ID104) => Min Interval: 19, Max Interval: 50
Organization(ID139) => Min Interval: 12, Max Interval: 49
Organization(ID163) => Min Interval: 26, Max Interval: 43
Organization(ID170) => Min Interval: 18, Max Interval: 36
Organization(ID193) => Min Interval: 16, Max Interval: 35
Organization(ID211) => Min Interval: 31, Max Interval: 45
Organization(ID213) => Min Interval: 5, Max Interval: 45
Organization(ID219) => Min Interval: 9, Max Interval: 38
Organization(ID221) => Min Interval: 8, Max Interval: 42
Organization(ID243) => Min Interval: 26, Max Interval: 39
Organization(ID257) => Min Interval: 2, Max Interval: 16
Organization(ID301) => Min Interval: 25, Max Interval: 49
Organization(ID334) => Min Interval: 3, Max Interval: 44
Organization(ID345) => Min Interval: 24, Max Interval: 50
Organization(ID346) => Min Interval: 4, Max Interval: 31
Organization(ID347) => Min Interval: 19, Max Interval: 45
Organization(ID351) => Min Interval: 27, Max Interval: 37
Organization(ID358) => Min Interval: 36, Max Interval: 42
Organization(ID360) => Min Interval: 6, Max Interval: 25
Organization(ID370) => Min Interval: 6, Max Interval: 45
Organization(ID376) => Min Interval: 5, Max Interval: 44
Organization(ID386) => Min Interval: 8, Max Interval: 43
Organization(ID392) => Min Interval: 3, Max Interval: 37
Organization(ID394) => Min Interval: 6, Max Interval: 50
Organization(ID404) => Min Interval: 10, Max Interval: 48
Organization(ID418) => Min Interval: 12, Max Interval: 34
Organization(ID446) => Min Interval: 0, Max Interval: 48
Organization(ID457) => Min Interval: 3, Max Interval: 31
Organization(ID467) => Min Interval: 17, Max Interval: 46
Organization(ID471) => Min Interval: 7, Max Interval: 45
Organization(ID479) => Min Interval: 10, Max Interval: 45
Organization(ID494) => Min Interval: 0, Max Interval: 46
Organization(ID504) => Min Interval: 24, Max Interval: 44
Organization(ID527) => Min Interval: 0, Max Interval: 41
Organization(ID536) => Min Interval: 8, Max Interval: 49
Organization(ID540) => Min Interval: 13, Max Interval: 49
