Stored fact information:
Publication(ID4) => Min Interval: 6, Max Interval: 38
Publication(ID6) => Min Interval: 3, Max Interval: 42
Publication(ID20) => Min Interval: 1, Max Interval: 39
Publication(ID30) => Min Interval: 7, Max Interval: 45
Publication(ID34) => Min Interval: 16, Max Interval: 50
Publication(ID49) => Min Interval: 17, Max Interval: 33
Publication(ID53) => Min Interval: 1, Max Interval: 35
Publication(ID60) => Min Interval: 9, Max Interval: 38
Publication(ID66) => Min Interval: 3, Max Interval: 28
Publication(ID74) => Min Interval: 6, Max Interval: 37
Publication(ID82) => Min Interval: 7, Max Interval: 47
Publication(ID84) => Min Interval: 0, Max Interval: 46
Publication(ID88) => Min Interval: 0, Max Interval: 45
Publication(ID92) => Min Interval: 8, Max Interval: 48
Publication(ID99) => Min Interval: 9, Max Interval: 46
Publication(ID100) => Min Interval: 11, Max Interval: 48
Publication(ID111) => Min Interval: 1, Max Interval: 42
Publication(ID118) => Min Interval: 21, Max Interval: 50
Publication(ID119) => Min Interval: 0, Max Interval: 49
Publication(ID121) => Min Interval: 3, Max Interval: 34
Publication(ID127) => Min Interval: 16, Max Interval: 50
Publication(ID128) => Min Interval: 9, Max Interval: 49
Publication(ID138) => Min Interval: 3, Max Interval: 33
Publication(ID155) => Min Interval: 2, Max Interval: 50
Publication(ID159) => Min Interval: 7, Max Interval: 46
Publication(ID161) => Min Interval: 16, Max Interval: 41
Publication(ID164) => Min Interval: 17, Max Interval: 42
Publication(ID171) => Min Interval: 8, Max Interval: 48
Publication(ID179) => Min Interval: 3, Max Interval: 34
Publication(ID185) => Min Interval: 28, Max Interval: 44
Publication(ID203) => Min Interval: 2, Max Interval: 29
Publication(ID212) => Min Interval: 0, Max Interval: 37
Publication(ID216) => Min Interval: 1, Max Interval: 44
Publication(ID225) => Min Interval: 14, Max Interval: 45
Publication(ID227) => Min Interval: 8, Max Interval: 43
Publication(ID236) => Min Interval: 12, Max Interval: 41
Publication(ID240) => Min Interval: 3, Max Interval: 28
Publication(ID255) => Min Interval: 2, Max Interval: 32
Publication(ID264) => Min Interval: 2, Max Interval: 25
Publication(ID272) => Min Interval: 8, Max Interval: 46
Publication(ID274) => Min Interval: 11, Max Interval: 31
Publication(ID276) => Min Interval: 25, Max Interval: 48
Publication(ID280) => Min Interval: 1, Max Interval: 34
Publication(ID286) => Min Interval: 10, Max Interval: 48
Publication(ID287) => Min Interval: 21, Max Interval: 37
Publication(ID292) => Min Interval: 4, Max Interval: 42
Publication(ID293) => Min Interval: 8, Max Interval: 48
Publication(ID296) => Min Interval: 3, Max Interval: 46
Publication(ID299) => Min Interval: 3, Max Interval: 43
Publication(ID303) => Min Interval: 8, Max Interval: 39
Publication(ID310) => Min Interval: 9, Max Interval: 17
Publication(ID313) => Min Interval: 3, Max Interval: 42
Publication(ID318) => Min Interval: 3, Max Interval: 42
Publication(ID321) => Min Interval: 32, Max Interval: 44
Publication(ID324) => Min Interval: 8, Max Interval: 42
Publication(ID330) => Min Interval: 10, Max Interval: 43
Publication(ID341) => Min Interval: 17, Max Interval: 50
Publication(ID362) => Min Interval: 21, Max Interval: 48
Publication(ID364) => Min Interval: 15, Max Interval: 20
Publication(ID368) => Min Interval: 11, Max Interval: 31
Publication(ID373) => Min Interval: 15, Max Interval: 45
Publication(ID380) => Min Interval: 0, Max Interval: 50
Publication(ID382) => Min Interval: 10, Max Interval: 49
Publication(ID387) => Min Interval: 14, Max Interval: 28
Publication(ID389) => Min Interval: 1, Max Interval: 46
Publication(ID393) => Min Interval: 11, Max Interval: 31
Publication(ID402) => Min Interval: 1, Max Interval: 47
Publication(ID406) => Min Interval: 7, Max Interval: 45
Publication(ID412) => Min Interval: 17, Max Interval: 43
Publication(ID415) => Min Interval: 2, Max Interval: 44
Publication(ID420) => Min Interval: 0, Max Interval: 29
Publication(ID423) => Min Interval: 4, Max Interval: 48
Publication(ID425) => Min Interval: 12, Max Interval: 48
Publication(ID428) => Min Interval: 1, Max Interval: 42
Publication(ID429) => Min Interval: 8, Max Interval: 46
Publication(ID438) => Min Interval: 25, Max Interval: 40
Publication(ID443) => Min Interval: 6, Max Interval: 13
Publication(ID454) => Min Interval: 12, Max Interval: 46
Publication(ID455) => Min Interval: 13, Max Interval: 36
Publication(ID460) => Min Interval: 3, Max Interval: 45
Publication(ID472) => Min Interval: 28, Max Interval: 41
Publication(ID477) => Min Interval: 26, Max Interval: 32
Publication(ID478) => Min Interval: 4, Max Interval: 18
Publication(ID481) => Min Interval: 12, Max Interval: 45
Publication(ID483) => Min Interval: 20, Max Interval: 50
Publication(ID489) => Min Interval: 6, Max Interval: 32
Publication(ID493) => Min Interval: 5, Max Interval: 34
Publication(ID499) => Min Interval: 5, Max Interval: 35
Publication(ID502) => Min Interval: 3, Max Interval: 50
Publication(ID503) => Min Interval: 0, Max Interval: 40
Publication(ID509) => Min Interval: 14, Max Interval: 42
Publication(ID512) => Min Interval: 5, Max Interval: 36
Publication(ID519) => Min Interval: 4, Max Interval: 42
Publication(ID521) => Min Interval: 6, Max Interval: 48
Publication(ID525) => Min Interval: 14, Max Interval: 48
Publication(ID526) => Min Interval: 12, Max Interval: 41
Publication(ID531) => Min Interval: 8, Max Interval: 30
Publication(ID546) => Min Interval: 13, Max Interval: 48
Publication(ID548) => Min Interval: 7, Max Interval: 50
Publication(ID549) => Min Interval: 3, Max Interval: 48
