Stored fact information:
University(ID38) => Min Interval: 0, Max Interval: 29
University(ID41) => Min Interval: 2, Max Interval: 42
University(ID44) => Min Interval: 5, Max Interval: 27
University(ID48) => Min Interval: 9, Max Interval: 22
University(ID51) => Min Interval: 10, Max Interval: 50
University(ID57) => Min Interval: 20, Max Interval: 48
University(ID87) => Min Interval: 1, Max Interval: 48
University(ID93) => Min Interval: 1, Max Interval: 47
University(ID98) => Min Interval: 7, Max Interval: 44
University(ID104) => Min Interval: 19, Max Interval: 50
University(ID139) => Min Interval: 12, Max Interval: 49
University(ID163) => Min Interval: 26, Max Interval: 43
University(ID170) => Min Interval: 18, Max Interval: 36
University(ID193) => Min Interval: 16, Max Interval: 35
University(ID211) => Min Interval: 31, Max Interval: 45
University(ID213) => Min Interval: 5, Max Interval: 45
University(ID219) => Min Interval: 9, Max Interval: 38
University(ID221) => Min Interval: 8, Max Interval: 42
University(ID257) => Min Interval: 2, Max Interval: 16
University(ID301) => Min Interval: 25, Max Interval: 49
University(ID334) => Min Interval: 3, Max Interval: 44
University(ID345) => Min Interval: 24, Max Interval: 50
University(ID346) => Min Interval: 4, Max Interval: 31
University(ID347) => Min Interval: 19, Max Interval: 45
University(ID351) => Min Interval: 27, Max Interval: 37
University(ID358) => Min Interval: 36, Max Interval: 42
University(ID360) => Min Interval: 6, Max Interval: 25
University(ID370) => Min Interval: 6, Max Interval: 45
University(ID376) => Min Interval: 5, Max Interval: 44
University(ID386) => Min Interval: 8, Max Interval: 43
University(ID392) => Min Interval: 3, Max Interval: 37
University(ID394) => Min Interval: 6, Max Interval: 50
University(ID404) => Min Interval: 10, Max Interval: 48
University(ID418) => Min Interval: 12, Max Interval: 34
University(ID446) => Min Interval: 0, Max Interval: 48
University(ID457) => Min Interval: 3, Max Interval: 31
University(ID467) => Min Interval: 17, Max Interval: 46
University(ID471) => Min Interval: 7, Max Interval: 45
University(ID479) => Min Interval: 10, Max Interval: 45
University(ID494) => Min Interval: 0, Max Interval: 46
University(ID504) => Min Interval: 24, Max Interval: 44
University(ID527) => Min Interval: 0, Max Interval: 41
University(ID536) => Min Interval: 8, Max Interval: 49
University(ID540) => Min Interval: 13, Max Interval: 49
