Stored fact information:
AssistantProfessorCandidate(ID4) => Min Interval: 17, Max Interval: 48
AssistantProfessorCandidate(ID8) => Min Interval: 22, Max Interval: 50
AssistantProfessorCandidate(ID10) => Min Interval: 39, Max Interval: 42
AssistantProfessorCandidate(ID13) => Min Interval: 16, Max Interval: 33
AssistantProfessorCandidate(ID16) => Min Interval: 23, Max Interval: 30
AssistantProfessorCandidate(ID18) => Min Interval: 12, Max Interval: 46
AssistantProfessorCandidate(ID23) => Min Interval: 45, Max Interval: 48
AssistantProfessorCandidate(ID25) => Min Interval: 36, Max Interval: 42
AssistantProfessorCandidate(ID27) => Min Interval: 10, Max Interval: 33
AssistantProfessorCandidate(ID30) => Min Interval: 13, Max Interval: 40
AssistantProfessorCandidate(ID32) => Min Interval: 9, Max Interval: 46
AssistantProfessorCandidate(ID35) => Min Interval: 25, Max Interval: 35
AssistantProfessorCandidate(ID37) => Min Interval: 23, Max Interval: 33
AssistantProfessorCandidate(ID39) => Min Interval: 16, Max Interval: 27
AssistantProfessorCandidate(ID40) => Min Interval: 3, Max Interval: 50
AssistantProfessorCandidate(ID42) => Min Interval: 33, Max Interval: 39
AssistantProfessorCandidate(ID44) => Min Interval: 5, Max Interval: 41
AssistantProfessorCandidate(ID47) => Min Interval: 9, Max Interval: 47
AssistantProfessorCandidate(ID49) => Min Interval: 37, Max Interval: 46
AssistantProfessorCandidate(ID52) => Min Interval: 15, Max Interval: 40
AssistantProfessorCandidate(ID60) => Min Interval: 17, Max Interval: 42
AssistantProfessorCandidate(ID62) => Min Interval: 18, Max Interval: 41
AssistantProfessorCandidate(ID64) => Min Interval: 10, Max Interval: 47
AssistantProfessorCandidate(ID75) => Min Interval: 14, Max Interval: 40
AssistantProfessorCandidate(ID77) => Min Interval: 13, Max Interval: 32
AssistantProfessorCandidate(ID79) => Min Interval: 24, Max Interval: 34
AssistantProfessorCandidate(ID87) => Min Interval: 29, Max Interval: 51
AssistantProfessorCandidate(ID90) => Min Interval: 3, Max Interval: 40
AssistantProfessorCandidate(ID92) => Min Interval: 1, Max Interval: 41
AssistantProfessorCandidate(ID100) => Min Interval: 2, Max Interval: 53
AssistantProfessorCandidate(ID106) => Min Interval: 16, Max Interval: 30
AssistantProfessorCandidate(ID108) => Min Interval: 6, Max Interval: 46
AssistantProfessorCandidate(ID114) => Min Interval: 15, Max Interval: 46
AssistantProfessorCandidate(ID119) => Min Interval: 3, Max Interval: 49
AssistantProfessorCandidate(ID121) => Min Interval: 19, Max Interval: 37
AssistantProfessorCandidate(ID123) => Min Interval: 13, Max Interval: 41
AssistantProfessorCandidate(ID128) => Min Interval: 19, Max Interval: 33
AssistantProfessorCandidate(ID130) => Min Interval: 29, Max Interval: 44
AssistantProfessorCandidate(ID132) => Min Interval: 5, Max Interval: 49
AssistantProfessorCandidate(ID133) => Min Interval: 25, Max Interval: 39
AssistantProfessorCandidate(ID142) => Min Interval: 7, Max Interval: 50
AssistantProfessorCandidate(ID152) => Min Interval: 12, Max Interval: 23
AssistantProfessorCandidate(ID155) => Min Interval: 2, Max Interval: 51
AssistantProfessorCandidate(ID156) => Min Interval: 11, Max Interval: 50
AssistantProfessorCandidate(ID160) => Min Interval: 15, Max Interval: 35
AssistantProfessorCandidate(ID163) => Min Interval: 3, Max Interval: 35
AssistantProfessorCandidate(ID165) => Min Interval: 6, Max Interval: 50
AssistantProfessorCandidate(ID168) => Min Interval: 9, Max Interval: 47
AssistantProfessorCandidate(ID170) => Min Interval: 25, Max Interval: 47
AssistantProfessorCandidate(ID171) => Min Interval: 9, Max Interval: 27
AssistantProfessorCandidate(ID173) => Min Interval: 5, Max Interval: 44
AssistantProfessorCandidate(ID179) => Min Interval: 33, Max Interval: 41
AssistantProfessorCandidate(ID184) => Min Interval: 12, Max Interval: 35
AssistantProfessorCandidate(ID190) => Min Interval: 19, Max Interval: 36
AssistantProfessorCandidate(ID192) => Min Interval: 14, Max Interval: 48
AssistantProfessorCandidate(ID193) => Min Interval: 10, Max Interval: 45
AssistantProfessorCandidate(ID195) => Min Interval: 3, Max Interval: 46
AssistantProfessorCandidate(ID197) => Min Interval: 9, Max Interval: 35
AssistantProfessorCandidate(ID198) => Min Interval: 10, Max Interval: 47
AssistantProfessorCandidate(ID200) => Min Interval: 13, Max Interval: 51
AssistantProfessorCandidate(ID207) => Min Interval: 1, Max Interval: 40
AssistantProfessorCandidate(ID209) => Min Interval: 2, Max Interval: 38
AssistantProfessorCandidate(ID210) => Min Interval: 9, Max Interval: 48
AssistantProfessorCandidate(ID217) => Min Interval: 18, Max Interval: 23
AssistantProfessorCandidate(ID219) => Min Interval: 13, Max Interval: 46
AssistantProfessorCandidate(ID221) => Min Interval: 20, Max Interval: 37
AssistantProfessorCandidate(ID227) => Min Interval: 12, Max Interval: 25
AssistantProfessorCandidate(ID229) => Min Interval: 15, Max Interval: 41
AssistantProfessorCandidate(ID231) => Min Interval: 2, Max Interval: 35
AssistantProfessorCandidate(ID233) => Min Interval: 7, Max Interval: 49
AssistantProfessorCandidate(ID234) => Min Interval: 19, Max Interval: 36
AssistantProfessorCandidate(ID236) => Min Interval: 36, Max Interval: 41
AssistantProfessorCandidate(ID238) => Min Interval: 45, Max Interval: 48
AssistantProfessorCandidate(ID239) => Min Interval: 16, Max Interval: 47
AssistantProfessorCandidate(ID240) => Min Interval: 16, Max Interval: 21
AssistantProfessorCandidate(ID241) => Min Interval: 12, Max Interval: 32
AssistantProfessorCandidate(ID243) => Min Interval: 9, Max Interval: 48
AssistantProfessorCandidate(ID244) => Min Interval: 34, Max Interval: 48
AssistantProfessorCandidate(ID246) => Min Interval: 27, Max Interval: 41
AssistantProfessorCandidate(ID256) => Min Interval: 5, Max Interval: 26
AssistantProfessorCandidate(ID263) => Min Interval: 4, Max Interval: 50
AssistantProfessorCandidate(ID265) => Min Interval: 17, Max Interval: 52
AssistantProfessorCandidate(ID266) => Min Interval: 12, Max Interval: 28
AssistantProfessorCandidate(ID270) => Min Interval: 10, Max Interval: 22
AssistantProfessorCandidate(ID271) => Min Interval: 20, Max Interval: 25
AssistantProfessorCandidate(ID277) => Min Interval: 13, Max Interval: 46
AssistantProfessorCandidate(ID278) => Min Interval: 16, Max Interval: 40
AssistantProfessorCandidate(ID279) => Min Interval: 19, Max Interval: 49
AssistantProfessorCandidate(ID289) => Min Interval: 10, Max Interval: 30
AssistantProfessorCandidate(ID292) => Min Interval: 9, Max Interval: 41
AssistantProfessorCandidate(ID293) => Min Interval: 20, Max Interval: 48
AssistantProfessorCandidate(ID295) => Min Interval: 22, Max Interval: 46
AssistantProfessorCandidate(ID297) => Min Interval: 10, Max Interval: 48
AssistantProfessorCandidate(ID299) => Min Interval: 9, Max Interval: 37
AssistantProfessorCandidate(ID303) => Min Interval: 16, Max Interval: 47
AssistantProfessorCandidate(ID305) => Min Interval: 7, Max Interval: 40
AssistantProfessorCandidate(ID309) => Min Interval: 19, Max Interval: 48
AssistantProfessorCandidate(ID311) => Min Interval: 4, Max Interval: 46
AssistantProfessorCandidate(ID312) => Min Interval: 33, Max Interval: 39
AssistantProfessorCandidate(ID315) => Min Interval: 15, Max Interval: 28
AssistantProfessorCandidate(ID316) => Min Interval: 9, Max Interval: 21
AssistantProfessorCandidate(ID318) => Min Interval: 26, Max Interval: 47
AssistantProfessorCandidate(ID319) => Min Interval: 32, Max Interval: 45
AssistantProfessorCandidate(ID320) => Min Interval: 15, Max Interval: 49
AssistantProfessorCandidate(ID321) => Min Interval: 4, Max Interval: 44
AssistantProfessorCandidate(ID326) => Min Interval: 4, Max Interval: 30
AssistantProfessorCandidate(ID328) => Min Interval: 24, Max Interval: 48
AssistantProfessorCandidate(ID330) => Min Interval: 12, Max Interval: 50
AssistantProfessorCandidate(ID331) => Min Interval: 35, Max Interval: 48
AssistantProfessorCandidate(ID332) => Min Interval: 41, Max Interval: 48
AssistantProfessorCandidate(ID335) => Min Interval: 11, Max Interval: 18
AssistantProfessorCandidate(ID338) => Min Interval: 4, Max Interval: 41
AssistantProfessorCandidate(ID340) => Min Interval: 7, Max Interval: 51
AssistantProfessorCandidate(ID344) => Min Interval: 24, Max Interval: 33
AssistantProfessorCandidate(ID350) => Min Interval: 20, Max Interval: 27
AssistantProfessorCandidate(ID351) => Min Interval: 20, Max Interval: 46
AssistantProfessorCandidate(ID353) => Min Interval: 11, Max Interval: 30
AssistantProfessorCandidate(ID356) => Min Interval: 3, Max Interval: 50
AssistantProfessorCandidate(ID358) => Min Interval: 4, Max Interval: 44
AssistantProfessorCandidate(ID361) => Min Interval: 13, Max Interval: 26
AssistantProfessorCandidate(ID363) => Min Interval: 11, Max Interval: 49
AssistantProfessorCandidate(ID364) => Min Interval: 21, Max Interval: 39
AssistantProfessorCandidate(ID366) => Min Interval: 19, Max Interval: 38
AssistantProfessorCandidate(ID369) => Min Interval: 9, Max Interval: 40
AssistantProfessorCandidate(ID371) => Min Interval: 8, Max Interval: 50
AssistantProfessorCandidate(ID372) => Min Interval: 19, Max Interval: 47
AssistantProfessorCandidate(ID374) => Min Interval: 26, Max Interval: 50
AssistantProfessorCandidate(ID376) => Min Interval: 24, Max Interval: 40
AssistantProfessorCandidate(ID380) => Min Interval: 35, Max Interval: 43
AssistantProfessorCandidate(ID383) => Min Interval: 6, Max Interval: 18
AssistantProfessorCandidate(ID384) => Min Interval: 28, Max Interval: 38
AssistantProfessorCandidate(ID388) => Min Interval: 22, Max Interval: 41
AssistantProfessorCandidate(ID390) => Min Interval: 4, Max Interval: 49
AssistantProfessorCandidate(ID392) => Min Interval: 4, Max Interval: 49
AssistantProfessorCandidate(ID393) => Min Interval: 18, Max Interval: 45
AssistantProfessorCandidate(ID396) => Min Interval: 15, Max Interval: 46
AssistantProfessorCandidate(ID400) => Min Interval: 12, Max Interval: 15
AssistantProfessorCandidate(ID404) => Min Interval: 10, Max Interval: 41
AssistantProfessorCandidate(ID405) => Min Interval: 37, Max Interval: 40
AssistantProfessorCandidate(ID412) => Min Interval: 20, Max Interval: 35
AssistantProfessorCandidate(ID413) => Min Interval: 12, Max Interval: 41
AssistantProfessorCandidate(ID414) => Min Interval: 11, Max Interval: 35
AssistantProfessorCandidate(ID415) => Min Interval: 24, Max Interval: 35
AssistantProfessorCandidate(ID418) => Min Interval: 20, Max Interval: 41
AssistantProfessorCandidate(ID419) => Min Interval: 41, Max Interval: 44
AssistantProfessorCandidate(ID420) => Min Interval: 10, Max Interval: 31
AssistantProfessorCandidate(ID421) => Min Interval: 16, Max Interval: 46
AssistantProfessorCandidate(ID423) => Min Interval: 40, Max Interval: 46
AssistantProfessorCandidate(ID429) => Min Interval: 11, Max Interval: 13
AssistantProfessorCandidate(ID431) => Min Interval: 12, Max Interval: 44
AssistantProfessorCandidate(ID432) => Min Interval: 19, Max Interval: 29
AssistantProfessorCandidate(ID434) => Min Interval: 10, Max Interval: 40
AssistantProfessorCandidate(ID437) => Min Interval: 13, Max Interval: 30
AssistantProfessorCandidate(ID438) => Min Interval: 8, Max Interval: 50
AssistantProfessorCandidate(ID443) => Min Interval: 4, Max Interval: 50
