Stored fact information:
FullProfessor(ID0) => Min Interval: 25, Max Interval: 99
FullProfessor(ID3) => Min Interval: 20, Max Interval: 99
FullProfessor(ID20) => Min Interval: 39, Max Interval: 99
FullProfessor(ID30) => Min Interval: 21, Max Interval: 99
FullProfessor(ID58) => Min Interval: 29, Max Interval: 99
FullProfessor(ID61) => Min Interval: 14, Max Interval: 99
FullProfessor(ID66) => Min Interval: 8, Max Interval: 99
FullProfessor(ID84) => Min Interval: 7, Max Interval: 99
FullProfessor(ID96) => Min Interval: 32, Max Interval: 99
FullProfessor(ID100) => Min Interval: 6, Max Interval: 99
FullProfessor(ID103) => Min Interval: 6, Max Interval: 99
FullProfessor(ID107) => Min Interval: 13, Max Interval: 99
FullProfessor(ID109) => Min Interval: 29, Max Interval: 99
FullProfessor(ID111) => Min Interval: 7, Max Interval: 99
FullProfessor(ID113) => Min Interval: 6, Max Interval: 99
FullProfessor(ID139) => Min Interval: 32, Max Interval: 99
FullProfessor(ID141) => Min Interval: 7, Max Interval: 99
FullProfessor(ID143) => Min Interval: 6, Max Interval: 99
FullProfessor(ID159) => Min Interval: 13, Max Interval: 99
FullProfessor(ID185) => Min Interval: 15, Max Interval: 99
FullProfessor(ID202) => Min Interval: 1, Max Interval: 99
FullProfessor(ID203) => Min Interval: 16, Max Interval: 99
FullProfessor(ID214) => Min Interval: 6, Max Interval: 99
FullProfessor(ID265) => Min Interval: 10, Max Interval: 99
FullProfessor(ID308) => Min Interval: 12, Max Interval: 99
FullProfessor(ID323) => Min Interval: 11, Max Interval: 99
FullProfessor(ID327) => Min Interval: 25, Max Interval: 99
FullProfessor(ID414) => Min Interval: 18, Max Interval: 99
FullProfessor(ID435) => Min Interval: 0, Max Interval: 99
FullProfessor(ID492) => Min Interval: 22, Max Interval: 99
FullProfessor(ID598) => Min Interval: 31, Max Interval: 99
FullProfessor(ID656) => Min Interval: 7, Max Interval: 99
FullProfessor(ID1638) => Min Interval: 6, Max Interval: 99
FullProfessor(ID1652) => Min Interval: 22, Max Interval: 99
FullProfessor(ID1681) => Min Interval: 8, Max Interval: 99
FullProfessor(ID1714) => Min Interval: 11, Max Interval: 99
FullProfessor(ID1735) => Min Interval: 17, Max Interval: 99
