Stored fact information:
Lecturer(ID4) => Min Interval: 16, Max Interval: 45
Lecturer(ID8) => Min Interval: 21, Max Interval: 47
Lecturer(ID10) => Min Interval: 38, Max Interval: 39
Lecturer(ID13) => Min Interval: 15, Max Interval: 30
Lecturer(ID16) => Min Interval: 22, Max Interval: 27
Lecturer(ID18) => Min Interval: 11, Max Interval: 43
Lecturer(ID23) => Min Interval: 44, Max Interval: 45
Lecturer(ID25) => Min Interval: 35, Max Interval: 39
Lecturer(ID27) => Min Interval: 9, Max Interval: 30
Lecturer(ID30) => Min Interval: 12, Max Interval: 37
Lecturer(ID32) => Min Interval: 8, Max Interval: 43
Lecturer(ID35) => Min Interval: 24, Max Interval: 32
Lecturer(ID37) => Min Interval: 22, Max Interval: 30
Lecturer(ID39) => Min Interval: 15, Max Interval: 24
Lecturer(ID40) => Min Interval: 2, Max Interval: 47
Lecturer(ID42) => Min Interval: 32, Max Interval: 36
Lecturer(ID44) => Min Interval: 4, Max Interval: 38
Lecturer(ID47) => Min Interval: 8, Max Interval: 44
Lecturer(ID49) => Min Interval: 36, Max Interval: 43
Lecturer(ID52) => Min Interval: 14, Max Interval: 37
Lecturer(ID60) => Min Interval: 16, Max Interval: 39
Lecturer(ID62) => Min Interval: 17, Max Interval: 38
Lecturer(ID64) => Min Interval: 9, Max Interval: 44
Lecturer(ID75) => Min Interval: 13, Max Interval: 37
Lecturer(ID77) => Min Interval: 12, Max Interval: 29
Lecturer(ID79) => Min Interval: 23, Max Interval: 31
Lecturer(ID87) => Min Interval: 28, Max Interval: 48
Lecturer(ID90) => Min Interval: 2, Max Interval: 37
Lecturer(ID92) => Min Interval: 0, Max Interval: 38
Lecturer(ID100) => Min Interval: 1, Max Interval: 50
Lecturer(ID106) => Min Interval: 15, Max Interval: 27
Lecturer(ID108) => Min Interval: 5, Max Interval: 43
Lecturer(ID114) => Min Interval: 14, Max Interval: 43
Lecturer(ID119) => Min Interval: 2, Max Interval: 46
Lecturer(ID121) => Min Interval: 18, Max Interval: 34
Lecturer(ID123) => Min Interval: 12, Max Interval: 38
Lecturer(ID128) => Min Interval: 18, Max Interval: 30
Lecturer(ID130) => Min Interval: 28, Max Interval: 41
Lecturer(ID132) => Min Interval: 4, Max Interval: 46
Lecturer(ID133) => Min Interval: 24, Max Interval: 36
Lecturer(ID142) => Min Interval: 6, Max Interval: 47
Lecturer(ID152) => Min Interval: 11, Max Interval: 20
Lecturer(ID155) => Min Interval: 1, Max Interval: 48
Lecturer(ID156) => Min Interval: 10, Max Interval: 47
