Stored fact information:
LecturerCandidate(ID4) => Min Interval: 17, Max Interval: 50
LecturerCandidate(ID6) => Min Interval: 46, Max Interval: 49
LecturerCandidate(ID8) => Min Interval: 23, Max Interval: 52
LecturerCandidate(ID10) => Min Interval: 39, Max Interval: 44
LecturerCandidate(ID13) => Min Interval: 16, Max Interval: 35
LecturerCandidate(ID16) => Min Interval: 23, Max Interval: 32
LecturerCandidate(ID18) => Min Interval: 12, Max Interval: 48
LecturerCandidate(ID23) => Min Interval: 39, Max Interval: 50
LecturerCandidate(ID25) => Min Interval: 36, Max Interval: 44
LecturerCandidate(ID27) => Min Interval: 10, Max Interval: 35
LecturerCandidate(ID32) => Min Interval: 9, Max Interval: 44
LecturerCandidate(ID35) => Min Interval: 25, Max Interval: 37
LecturerCandidate(ID37) => Min Interval: 23, Max Interval: 35
LecturerCandidate(ID39) => Min Interval: 16, Max Interval: 42
LecturerCandidate(ID40) => Min Interval: 3, Max Interval: 52
LecturerCandidate(ID42) => Min Interval: 33, Max Interval: 41
LecturerCandidate(ID44) => Min Interval: 6, Max Interval: 41
LecturerCandidate(ID47) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID49) => Min Interval: 37, Max Interval: 48
LecturerCandidate(ID52) => Min Interval: 15, Max Interval: 38
LecturerCandidate(ID60) => Min Interval: 17, Max Interval: 44
LecturerCandidate(ID62) => Min Interval: 18, Max Interval: 43
LecturerCandidate(ID64) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID69) => Min Interval: 14, Max Interval: 14
LecturerCandidate(ID75) => Min Interval: 14, Max Interval: 42
LecturerCandidate(ID77) => Min Interval: 13, Max Interval: 34
LecturerCandidate(ID79) => Min Interval: 24, Max Interval: 36
LecturerCandidate(ID87) => Min Interval: 30, Max Interval: 51
LecturerCandidate(ID90) => Min Interval: 4, Max Interval: 38
LecturerCandidate(ID92) => Min Interval: 2, Max Interval: 39
LecturerCandidate(ID106) => Min Interval: 16, Max Interval: 32
LecturerCandidate(ID108) => Min Interval: 6, Max Interval: 48
LecturerCandidate(ID114) => Min Interval: 15, Max Interval: 48
LecturerCandidate(ID119) => Min Interval: 3, Max Interval: 49
LecturerCandidate(ID121) => Min Interval: 20, Max Interval: 35
LecturerCandidate(ID123) => Min Interval: 13, Max Interval: 43
LecturerCandidate(ID126) => Min Interval: 18, Max Interval: 20
LecturerCandidate(ID128) => Min Interval: 19, Max Interval: 35
LecturerCandidate(ID130) => Min Interval: 29, Max Interval: 46
LecturerCandidate(ID132) => Min Interval: 5, Max Interval: 49
LecturerCandidate(ID133) => Min Interval: 25, Max Interval: 41
LecturerCandidate(ID142) => Min Interval: 8, Max Interval: 51
LecturerCandidate(ID147) => Min Interval: 11, Max Interval: 14
LecturerCandidate(ID152) => Min Interval: 12, Max Interval: 25
LecturerCandidate(ID155) => Min Interval: 2, Max Interval: 49
LecturerCandidate(ID156) => Min Interval: 11, Max Interval: 51
LecturerCandidate(ID160) => Min Interval: 15, Max Interval: 37
LecturerCandidate(ID163) => Min Interval: 3, Max Interval: 33
LecturerCandidate(ID165) => Min Interval: 6, Max Interval: 48
LecturerCandidate(ID168) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID170) => Min Interval: 15, Max Interval: 49
LecturerCandidate(ID171) => Min Interval: 9, Max Interval: 29
LecturerCandidate(ID173) => Min Interval: 5, Max Interval: 46
LecturerCandidate(ID179) => Min Interval: 33, Max Interval: 43
