Stored fact information:
ResearchAssistant(ID4) => Min Interval: 18, Max Interval: 50
ResearchAssistant(ID6) => Min Interval: 47, Max Interval: 49
ResearchAssistant(ID8) => Min Interval: 21, Max Interval: 52
ResearchAssistant(ID10) => Min Interval: 40, Max Interval: 44
ResearchAssistant(ID13) => Min Interval: 17, Max Interval: 35
ResearchAssistant(ID16) => Min Interval: 24, Max Interval: 32
ResearchAssistant(ID18) => Min Interval: 13, Max Interval: 48
ResearchAssistant(ID23) => Min Interval: 46, Max Interval: 50
ResearchAssistant(ID25) => Min Interval: 37, Max Interval: 44
ResearchAssistant(ID27) => Min Interval: 11, Max Interval: 35
ResearchAssistant(ID32) => Min Interval: 10, Max Interval: 44
ResearchAssistant(ID35) => Min Interval: 26, Max Interval: 37
ResearchAssistant(ID37) => Min Interval: 24, Max Interval: 35
ResearchAssistant(ID39) => Min Interval: 17, Max Interval: 42
ResearchAssistant(ID40) => Min Interval: 1, Max Interval: 52
ResearchAssistant(ID42) => Min Interval: 34, Max Interval: 41
ResearchAssistant(ID44) => Min Interval: 4, Max Interval: 41
ResearchAssistant(ID47) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID49) => Min Interval: 38, Max Interval: 48
ResearchAssistant(ID52) => Min Interval: 14, Max Interval: 38
ResearchAssistant(ID60) => Min Interval: 18, Max Interval: 44
ResearchAssistant(ID62) => Min Interval: 19, Max Interval: 43
ResearchAssistant(ID64) => Min Interval: 11, Max Interval: 49
ResearchAssistant(ID75) => Min Interval: 15, Max Interval: 42
ResearchAssistant(ID77) => Min Interval: 14, Max Interval: 34
ResearchAssistant(ID79) => Min Interval: 25, Max Interval: 36
ResearchAssistant(ID87) => Min Interval: 30, Max Interval: 51
ResearchAssistant(ID90) => Min Interval: 2, Max Interval: 38
ResearchAssistant(ID92) => Min Interval: 2, Max Interval: 39
ResearchAssistant(ID106) => Min Interval: 17, Max Interval: 32
ResearchAssistant(ID108) => Min Interval: 7, Max Interval: 48
ResearchAssistant(ID114) => Min Interval: 16, Max Interval: 48
ResearchAssistant(ID119) => Min Interval: 2, Max Interval: 49
ResearchAssistant(ID121) => Min Interval: 20, Max Interval: 35
ResearchAssistant(ID123) => Min Interval: 14, Max Interval: 43
ResearchAssistant(ID126) => Min Interval: 19, Max Interval: 20
ResearchAssistant(ID128) => Min Interval: 20, Max Interval: 35
ResearchAssistant(ID130) => Min Interval: 30, Max Interval: 46
ResearchAssistant(ID132) => Min Interval: 6, Max Interval: 49
ResearchAssistant(ID133) => Min Interval: 26, Max Interval: 41
ResearchAssistant(ID142) => Min Interval: 7, Max Interval: 51
ResearchAssistant(ID147) => Min Interval: 12, Max Interval: 14
ResearchAssistant(ID152) => Min Interval: 13, Max Interval: 25
ResearchAssistant(ID155) => Min Interval: 2, Max Interval: 49
ResearchAssistant(ID156) => Min Interval: 12, Max Interval: 51
ResearchAssistant(ID160) => Min Interval: 16, Max Interval: 37
ResearchAssistant(ID163) => Min Interval: 3, Max Interval: 33
ResearchAssistant(ID165) => Min Interval: 5, Max Interval: 48
ResearchAssistant(ID168) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID170) => Min Interval: 26, Max Interval: 49
ResearchAssistant(ID171) => Min Interval: 10, Max Interval: 29
ResearchAssistant(ID173) => Min Interval: 6, Max Interval: 46
ResearchAssistant(ID179) => Min Interval: 34, Max Interval: 43
ResearchAssistant(ID184) => Min Interval: 13, Max Interval: 33
ResearchAssistant(ID187) => Min Interval: 47, Max Interval: 48
ResearchAssistant(ID190) => Min Interval: 20, Max Interval: 38
ResearchAssistant(ID192) => Min Interval: 13, Max Interval: 46
ResearchAssistant(ID193) => Min Interval: 11, Max Interval: 47
ResearchAssistant(ID195) => Min Interval: 2, Max Interval: 44
ResearchAssistant(ID197) => Min Interval: 10, Max Interval: 37
ResearchAssistant(ID198) => Min Interval: 11, Max Interval: 49
ResearchAssistant(ID200) => Min Interval: 14, Max Interval: 49
ResearchAssistant(ID207) => Min Interval: 0, Max Interval: 38
ResearchAssistant(ID209) => Min Interval: 1, Max Interval: 47
ResearchAssistant(ID210) => Min Interval: 10, Max Interval: 46
ResearchAssistant(ID217) => Min Interval: 19, Max Interval: 28
ResearchAssistant(ID219) => Min Interval: 12, Max Interval: 48
ResearchAssistant(ID221) => Min Interval: 21, Max Interval: 39
ResearchAssistant(ID227) => Min Interval: 13, Max Interval: 27
ResearchAssistant(ID229) => Min Interval: 16, Max Interval: 43
ResearchAssistant(ID231) => Min Interval: 3, Max Interval: 33
ResearchAssistant(ID233) => Min Interval: 7, Max Interval: 48
ResearchAssistant(ID234) => Min Interval: 20, Max Interval: 34
ResearchAssistant(ID236) => Min Interval: 37, Max Interval: 43
ResearchAssistant(ID238) => Min Interval: 46, Max Interval: 50
ResearchAssistant(ID239) => Min Interval: 17, Max Interval: 49
ResearchAssistant(ID240) => Min Interval: 17, Max Interval: 23
ResearchAssistant(ID241) => Min Interval: 13, Max Interval: 34
ResearchAssistant(ID243) => Min Interval: 10, Max Interval: 50
ResearchAssistant(ID244) => Min Interval: 35, Max Interval: 50
ResearchAssistant(ID246) => Min Interval: 28, Max Interval: 43
ResearchAssistant(ID256) => Min Interval: 6, Max Interval: 24
ResearchAssistant(ID263) => Min Interval: 3, Max Interval: 52
ResearchAssistant(ID266) => Min Interval: 13, Max Interval: 30
ResearchAssistant(ID270) => Min Interval: 11, Max Interval: 24
ResearchAssistant(ID271) => Min Interval: 21, Max Interval: 27
ResearchAssistant(ID277) => Min Interval: 14, Max Interval: 48
ResearchAssistant(ID278) => Min Interval: 17, Max Interval: 42
ResearchAssistant(ID279) => Min Interval: 20, Max Interval: 47
ResearchAssistant(ID289) => Min Interval: 11, Max Interval: 32
ResearchAssistant(ID292) => Min Interval: 10, Max Interval: 43
ResearchAssistant(ID293) => Min Interval: 21, Max Interval: 50
ResearchAssistant(ID295) => Min Interval: 23, Max Interval: 48
ResearchAssistant(ID297) => Min Interval: 11, Max Interval: 50
ResearchAssistant(ID299) => Min Interval: 10, Max Interval: 35
ResearchAssistant(ID303) => Min Interval: 17, Max Interval: 49
ResearchAssistant(ID305) => Min Interval: 6, Max Interval: 38
ResearchAssistant(ID309) => Min Interval: 20, Max Interval: 50
ResearchAssistant(ID311) => Min Interval: 4, Max Interval: 44
ResearchAssistant(ID312) => Min Interval: 34, Max Interval: 41
ResearchAssistant(ID315) => Min Interval: 16, Max Interval: 30
ResearchAssistant(ID316) => Min Interval: 10, Max Interval: 23
ResearchAssistant(ID318) => Min Interval: 27, Max Interval: 49
ResearchAssistant(ID319) => Min Interval: 33, Max Interval: 47
ResearchAssistant(ID320) => Min Interval: 13, Max Interval: 51
ResearchAssistant(ID321) => Min Interval: 5, Max Interval: 46
ResearchAssistant(ID326) => Min Interval: 5, Max Interval: 29
ResearchAssistant(ID328) => Min Interval: 25, Max Interval: 50
ResearchAssistant(ID330) => Min Interval: 13, Max Interval: 52
ResearchAssistant(ID331) => Min Interval: 36, Max Interval: 50
ResearchAssistant(ID332) => Min Interval: 42, Max Interval: 50
ResearchAssistant(ID335) => Min Interval: 12, Max Interval: 20
ResearchAssistant(ID338) => Min Interval: 3, Max Interval: 43
ResearchAssistant(ID340) => Min Interval: 6, Max Interval: 49
ResearchAssistant(ID344) => Min Interval: 25, Max Interval: 35
ResearchAssistant(ID350) => Min Interval: 21, Max Interval: 29
ResearchAssistant(ID351) => Min Interval: 21, Max Interval: 48
ResearchAssistant(ID353) => Min Interval: 12, Max Interval: 32
ResearchAssistant(ID356) => Min Interval: 2, Max Interval: 48
ResearchAssistant(ID358) => Min Interval: 3, Max Interval: 42
ResearchAssistant(ID361) => Min Interval: 14, Max Interval: 28
ResearchAssistant(ID363) => Min Interval: 10, Max Interval: 47
ResearchAssistant(ID364) => Min Interval: 22, Max Interval: 41
ResearchAssistant(ID366) => Min Interval: 20, Max Interval: 40
ResearchAssistant(ID369) => Min Interval: 10, Max Interval: 42
ResearchAssistant(ID371) => Min Interval: 7, Max Interval: 52
ResearchAssistant(ID372) => Min Interval: 20, Max Interval: 49
ResearchAssistant(ID374) => Min Interval: 27, Max Interval: 48
ResearchAssistant(ID376) => Min Interval: 25, Max Interval: 42
ResearchAssistant(ID380) => Min Interval: 36, Max Interval: 45
ResearchAssistant(ID382) => Min Interval: 41, Max Interval: 41
ResearchAssistant(ID383) => Min Interval: 7, Max Interval: 20
ResearchAssistant(ID384) => Min Interval: 29, Max Interval: 40
ResearchAssistant(ID388) => Min Interval: 23, Max Interval: 43
ResearchAssistant(ID390) => Min Interval: 5, Max Interval: 47
ResearchAssistant(ID392) => Min Interval: 3, Max Interval: 48
ResearchAssistant(ID393) => Min Interval: 19, Max Interval: 47
ResearchAssistant(ID396) => Min Interval: 16, Max Interval: 48
ResearchAssistant(ID400) => Min Interval: 13, Max Interval: 47
ResearchAssistant(ID404) => Min Interval: 9, Max Interval: 39
ResearchAssistant(ID405) => Min Interval: 38, Max Interval: 42
ResearchAssistant(ID412) => Min Interval: 21, Max Interval: 37
ResearchAssistant(ID413) => Min Interval: 13, Max Interval: 39
ResearchAssistant(ID415) => Min Interval: 25, Max Interval: 37
ResearchAssistant(ID418) => Min Interval: 21, Max Interval: 43
ResearchAssistant(ID419) => Min Interval: 42, Max Interval: 46
ResearchAssistant(ID420) => Min Interval: 11, Max Interval: 33
ResearchAssistant(ID421) => Min Interval: 17, Max Interval: 48
ResearchAssistant(ID423) => Min Interval: 41, Max Interval: 48
ResearchAssistant(ID429) => Min Interval: 12, Max Interval: 15
ResearchAssistant(ID431) => Min Interval: 13, Max Interval: 46
ResearchAssistant(ID432) => Min Interval: 20, Max Interval: 31
ResearchAssistant(ID434) => Min Interval: 8, Max Interval: 42
ResearchAssistant(ID437) => Min Interval: 14, Max Interval: 32
ResearchAssistant(ID438) => Min Interval: 9, Max Interval: 48
ResearchAssistant(ID443) => Min Interval: 5, Max Interval: 52
ResearchAssistant(ID444) => Min Interval: 38, Max Interval: 49
ResearchAssistant(ID446) => Min Interval: 15, Max Interval: 23
ResearchAssistant(ID449) => Min Interval: 12, Max Interval: 37
ResearchAssistant(ID453) => Min Interval: 19, Max Interval: 50
ResearchAssistant(ID454) => Min Interval: 17, Max Interval: 48
ResearchAssistant(ID455) => Min Interval: 11, Max Interval: 29
ResearchAssistant(ID456) => Min Interval: 11, Max Interval: 48
ResearchAssistant(ID458) => Min Interval: 9, Max Interval: 50
ResearchAssistant(ID460) => Min Interval: 22, Max Interval: 40
ResearchAssistant(ID463) => Min Interval: 1, Max Interval: 48
ResearchAssistant(ID465) => Min Interval: 5, Max Interval: 42
ResearchAssistant(ID469) => Min Interval: 8, Max Interval: 50
ResearchAssistant(ID472) => Min Interval: 30, Max Interval: 52
ResearchAssistant(ID473) => Min Interval: 26, Max Interval: 37
ResearchAssistant(ID475) => Min Interval: 7, Max Interval: 45
ResearchAssistant(ID477) => Min Interval: 10, Max Interval: 50
ResearchAssistant(ID478) => Min Interval: 8, Max Interval: 13
ResearchAssistant(ID480) => Min Interval: 16, Max Interval: 23
ResearchAssistant(ID481) => Min Interval: 10, Max Interval: 46
ResearchAssistant(ID487) => Min Interval: 21, Max Interval: 25
ResearchAssistant(ID496) => Min Interval: 5, Max Interval: 49
ResearchAssistant(ID499) => Min Interval: 8, Max Interval: 49
ResearchAssistant(ID501) => Min Interval: 12, Max Interval: 49
ResearchAssistant(ID503) => Min Interval: 1, Max Interval: 48
ResearchAssistant(ID508) => Min Interval: 11, Max Interval: 26
ResearchAssistant(ID509) => Min Interval: 5, Max Interval: 47
ResearchAssistant(ID511) => Min Interval: 21, Max Interval: 49
ResearchAssistant(ID515) => Min Interval: 26, Max Interval: 49
ResearchAssistant(ID516) => Min Interval: 10, Max Interval: 12
ResearchAssistant(ID518) => Min Interval: 8, Max Interval: 44
ResearchAssistant(ID525) => Min Interval: 10, Max Interval: 42
