Stored fact information:
Scientist(ID0) => Min Interval: 24, Max Interval: 99
Scientist(ID3) => Min Interval: 19, Max Interval: 99
Scientist(ID20) => Min Interval: 38, Max Interval: 99
Scientist(ID30) => Min Interval: 20, Max Interval: 99
Scientist(ID58) => Min Interval: 28, Max Interval: 99
Scientist(ID61) => Min Interval: 13, Max Interval: 99
Scientist(ID66) => Min Interval: 7, Max Interval: 99
Scientist(ID84) => Min Interval: 8, Max Interval: 99
Scientist(ID96) => Min Interval: 33, Max Interval: 99
Scientist(ID100) => Min Interval: 5, Max Interval: 99
Scientist(ID103) => Min Interval: 5, Max Interval: 99
Scientist(ID107) => Min Interval: 12, Max Interval: 99
Scientist(ID109) => Min Interval: 28, Max Interval: 99
Scientist(ID111) => Min Interval: 6, Max Interval: 99
Scientist(ID113) => Min Interval: 5, Max Interval: 99
Scientist(ID139) => Min Interval: 31, Max Interval: 99
Scientist(ID141) => Min Interval: 6, Max Interval: 99
Scientist(ID143) => Min Interval: 5, Max Interval: 99
Scientist(ID159) => Min Interval: 12, Max Interval: 99
Scientist(ID185) => Min Interval: 14, Max Interval: 99
Scientist(ID202) => Min Interval: 2, Max Interval: 99
Scientist(ID203) => Min Interval: 15, Max Interval: 99
Scientist(ID214) => Min Interval: 5, Max Interval: 99
Scientist(ID265) => Min Interval: 9, Max Interval: 99
Scientist(ID308) => Min Interval: 11, Max Interval: 99
Scientist(ID323) => Min Interval: 10, Max Interval: 99
Scientist(ID327) => Min Interval: 24, Max Interval: 99
Scientist(ID414) => Min Interval: 17, Max Interval: 99
Scientist(ID435) => Min Interval: 1, Max Interval: 99
Scientist(ID492) => Min Interval: 21, Max Interval: 99
Scientist(ID598) => Min Interval: 30, Max Interval: 99
Scientist(ID656) => Min Interval: 6, Max Interval: 99
Scientist(ID1638) => Min Interval: 5, Max Interval: 99
Scientist(ID1652) => Min Interval: 21, Max Interval: 99
Scientist(ID1681) => Min Interval: 7, Max Interval: 99
Scientist(ID1714) => Min Interval: 10, Max Interval: 99
Scientist(ID1735) => Min Interval: 16, Max Interval: 99
