Stored fact information:
SmartStudent(ID4) => Min Interval: 8, Max Interval: 22
SmartStudent(ID6) => Min Interval: 37, Max Interval: 38
SmartStudent(ID8) => Min Interval: 22, Max Interval: 50
SmartStudent(ID10) => Min Interval: 30, Max Interval: 44
SmartStudent(ID13) => Min Interval: 13, Max Interval: 35
SmartStudent(ID16) => Min Interval: 14, Max Interval: 32
SmartStudent(ID18) => Min Interval: 10, Max Interval: 45
SmartStudent(ID23) => Min Interval: 35, Max Interval: 37
SmartStudent(ID25) => Min Interval: 27, Max Interval: 38
SmartStudent(ID27) => Min Interval: 2, Max Interval: 35
SmartStudent(ID32) => Min Interval: 8, Max Interval: 37
SmartStudent(ID35) => Min Interval: 16, Max Interval: 45
SmartStudent(ID37) => Min Interval: 17, Max Interval: 35
SmartStudent(ID39) => Min Interval: 7, Max Interval: 41
SmartStudent(ID40) => Min Interval: 32, Max Interval: 36
SmartStudent(ID42) => Min Interval: 25, Max Interval: 41
SmartStudent(ID44) => Min Interval: 14, Max Interval: 39
SmartStudent(ID47) => Min Interval: 9, Max Interval: 47
SmartStudent(ID49) => Min Interval: 28, Max Interval: 37
SmartStudent(ID52) => Min Interval: 13, Max Interval: 22
SmartStudent(ID60) => Min Interval: 13, Max Interval: 44
SmartStudent(ID62) => Min Interval: 9, Max Interval: 42
SmartStudent(ID64) => Min Interval: 12, Max Interval: 46
SmartStudent(ID69) => Min Interval: 13, Max Interval: 42
SmartStudent(ID75) => Min Interval: 12, Max Interval: 42
SmartStudent(ID77) => Min Interval: 27, Max Interval: 46
SmartStudent(ID79) => Min Interval: 15, Max Interval: 28
SmartStudent(ID87) => Min Interval: 29, Max Interval: 34
SmartStudent(ID90) => Min Interval: 11, Max Interval: 13
SmartStudent(ID92) => Min Interval: 18, Max Interval: 37
SmartStudent(ID106) => Min Interval: 30, Max Interval: 32
SmartStudent(ID108) => Min Interval: 27, Max Interval: 41
SmartStudent(ID114) => Min Interval: 6, Max Interval: 32
SmartStudent(ID119) => Min Interval: 3, Max Interval: 47
SmartStudent(ID121) => Min Interval: 19, Max Interval: 33
SmartStudent(ID123) => Min Interval: 4, Max Interval: 43
SmartStudent(ID126) => Min Interval: 16, Max Interval: 49
SmartStudent(ID128) => Min Interval: 26, Max Interval: 33
SmartStudent(ID130) => Min Interval: 20, Max Interval: 39
SmartStudent(ID132) => Min Interval: 8, Max Interval: 22
SmartStudent(ID133) => Min Interval: 16, Max Interval: 23
SmartStudent(ID137) => Min Interval: 30, Max Interval: 33
SmartStudent(ID142) => Min Interval: 15, Max Interval: 49
SmartStudent(ID152) => Min Interval: 17, Max Interval: 48
SmartStudent(ID155) => Min Interval: 2, Max Interval: 43
SmartStudent(ID156) => Min Interval: 8, Max Interval: 49
SmartStudent(ID160) => Min Interval: 17, Max Interval: 37
SmartStudent(ID163) => Min Interval: 3, Max Interval: 31
SmartStudent(ID165) => Min Interval: 3, Max Interval: 44
SmartStudent(ID166) => Min Interval: 8, Max Interval: 9
SmartStudent(ID168) => Min Interval: 10, Max Interval: 49
SmartStudent(ID170) => Min Interval: 6, Max Interval: 49
SmartStudent(ID171) => Min Interval: 12, Max Interval: 29
SmartStudent(ID173) => Min Interval: 2, Max Interval: 44
SmartStudent(ID184) => Min Interval: 12, Max Interval: 31
SmartStudent(ID187) => Min Interval: 23, Max Interval: 24
SmartStudent(ID190) => Min Interval: 26, Max Interval: 38
SmartStudent(ID192) => Min Interval: 15, Max Interval: 44
SmartStudent(ID193) => Min Interval: 6, Max Interval: 38
SmartStudent(ID195) => Min Interval: 15, Max Interval: 42
SmartStudent(ID197) => Min Interval: 6, Max Interval: 37
SmartStudent(ID198) => Min Interval: 5, Max Interval: 45
SmartStudent(ID200) => Min Interval: 13, Max Interval: 47
SmartStudent(ID207) => Min Interval: 9, Max Interval: 36
SmartStudent(ID209) => Min Interval: 14, Max Interval: 34
SmartStudent(ID210) => Min Interval: 9, Max Interval: 38
SmartStudent(ID219) => Min Interval: 23, Max Interval: 46
SmartStudent(ID221) => Min Interval: 11, Max Interval: 39
SmartStudent(ID227) => Min Interval: 9, Max Interval: 42
SmartStudent(ID229) => Min Interval: 6, Max Interval: 43
SmartStudent(ID231) => Min Interval: 10, Max Interval: 31
SmartStudent(ID233) => Min Interval: 18, Max Interval: 46
SmartStudent(ID234) => Min Interval: 19, Max Interval: 32
SmartStudent(ID236) => Min Interval: 37, Max Interval: 43
SmartStudent(ID238) => Min Interval: 36, Max Interval: 50
SmartStudent(ID239) => Min Interval: 7, Max Interval: 40
SmartStudent(ID240) => Min Interval: 13, Max Interval: 22
SmartStudent(ID241) => Min Interval: 13, Max Interval: 25
SmartStudent(ID243) => Min Interval: 24, Max Interval: 50
SmartStudent(ID244) => Min Interval: 25, Max Interval: 50
SmartStudent(ID246) => Min Interval: 36, Max Interval: 43
SmartStudent(ID256) => Min Interval: 14, Max Interval: 22
SmartStudent(ID263) => Min Interval: 9, Max Interval: 40
SmartStudent(ID266) => Min Interval: 17, Max Interval: 30
SmartStudent(ID268) => Min Interval: 6, Max Interval: 31
SmartStudent(ID270) => Min Interval: 12, Max Interval: 24
SmartStudent(ID271) => Min Interval: 19, Max Interval: 39
SmartStudent(ID277) => Min Interval: 13, Max Interval: 46
SmartStudent(ID278) => Min Interval: 17, Max Interval: 39
SmartStudent(ID279) => Min Interval: 21, Max Interval: 35
SmartStudent(ID283) => Min Interval: 19, Max Interval: 45
SmartStudent(ID289) => Min Interval: 3, Max Interval: 32
SmartStudent(ID292) => Min Interval: 13, Max Interval: 43
SmartStudent(ID293) => Min Interval: 22, Max Interval: 35
SmartStudent(ID295) => Min Interval: 13, Max Interval: 43
