Stored fact information:
AssociateProfessor(ID0) => Min Interval: 37, Max Interval: 41
AssociateProfessor(ID6) => Min Interval: 19, Max Interval: 50
AssociateProfessor(ID7) => Min Interval: 11, Max Interval: 50
AssociateProfessor(ID8) => Min Interval: 8, Max Interval: 37
AssociateProfessor(ID10) => Min Interval: 23, Max Interval: 51
AssociateProfessor(ID13) => Min Interval: 7, Max Interval: 50
AssociateProfessor(ID14) => Min Interval: 43, Max Interval: 48
AssociateProfessor(ID16) => Min Interval: 19, Max Interval: 28
AssociateProfessor(ID20) => Min Interval: 25, Max Interval: 29
AssociateProfessor(ID28) => Min Interval: 24, Max Interval: 53
AssociateProfessor(ID29) => Min Interval: 7, Max Interval: 49
AssociateProfessor(ID31) => Min Interval: 11, Max Interval: 46
AssociateProfessor(ID32) => Min Interval: 21, Max Interval: 24
AssociateProfessor(ID33) => Min Interval: 21, Max Interval: 55
AssociateProfessor(ID34) => Min Interval: 15, Max Interval: 47
AssociateProfessor(ID36) => Min Interval: 22, Max Interval: 42
AssociateProfessor(ID38) => Min Interval: 18, Max Interval: 36
AssociateProfessor(ID41) => Min Interval: 16, Max Interval: 23
AssociateProfessor(ID42) => Min Interval: 6, Max Interval: 35
AssociateProfessor(ID43) => Min Interval: 7, Max Interval: 50
AssociateProfessor(ID45) => Min Interval: 20, Max Interval: 43
AssociateProfessor(ID47) => Min Interval: 18, Max Interval: 49
AssociateProfessor(ID50) => Min Interval: 17, Max Interval: 51
AssociateProfessor(ID51) => Min Interval: 10, Max Interval: 44
AssociateProfessor(ID53) => Min Interval: 8, Max Interval: 53
AssociateProfessor(ID54) => Min Interval: 15, Max Interval: 46
AssociateProfessor(ID57) => Min Interval: 26, Max Interval: 42
AssociateProfessor(ID58) => Min Interval: 3, Max Interval: 50
AssociateProfessor(ID59) => Min Interval: 12, Max Interval: 48
AssociateProfessor(ID64) => Min Interval: 11, Max Interval: 53
AssociateProfessor(ID65) => Min Interval: 39, Max Interval: 47
AssociateProfessor(ID71) => Min Interval: 42, Max Interval: 48
AssociateProfessor(ID75) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID77) => Min Interval: 10, Max Interval: 37
AssociateProfessor(ID82) => Min Interval: 25, Max Interval: 41
AssociateProfessor(ID86) => Min Interval: 27, Max Interval: 51
AssociateProfessor(ID88) => Min Interval: 27, Max Interval: 42
AssociateProfessor(ID89) => Min Interval: 20, Max Interval: 42
AssociateProfessor(ID90) => Min Interval: 32, Max Interval: 40
AssociateProfessor(ID92) => Min Interval: 11, Max Interval: 33
AssociateProfessor(ID96) => Min Interval: 11, Max Interval: 47
AssociateProfessor(ID97) => Min Interval: 29, Max Interval: 54
AssociateProfessor(ID104) => Min Interval: 17, Max Interval: 39
AssociateProfessor(ID109) => Min Interval: 18, Max Interval: 52
AssociateProfessor(ID114) => Min Interval: 39, Max Interval: 56
AssociateProfessor(ID115) => Min Interval: 9, Max Interval: 55
AssociateProfessor(ID117) => Min Interval: 24, Max Interval: 49
AssociateProfessor(ID119) => Min Interval: 18, Max Interval: 22
AssociateProfessor(ID120) => Min Interval: 36, Max Interval: 40
AssociateProfessor(ID123) => Min Interval: 32, Max Interval: 48
AssociateProfessor(ID125) => Min Interval: 10, Max Interval: 53
AssociateProfessor(ID128) => Min Interval: 24, Max Interval: 42
AssociateProfessor(ID131) => Min Interval: 9, Max Interval: 52
AssociateProfessor(ID133) => Min Interval: 16, Max Interval: 51
AssociateProfessor(ID135) => Min Interval: 27, Max Interval: 41
AssociateProfessor(ID138) => Min Interval: 16, Max Interval: 49
AssociateProfessor(ID140) => Min Interval: 21, Max Interval: 38
AssociateProfessor(ID144) => Min Interval: 30, Max Interval: 31
AssociateProfessor(ID148) => Min Interval: 14, Max Interval: 40
AssociateProfessor(ID150) => Min Interval: 14, Max Interval: 52
AssociateProfessor(ID152) => Min Interval: 11, Max Interval: 37
AssociateProfessor(ID153) => Min Interval: 12, Max Interval: 52
AssociateProfessor(ID154) => Min Interval: 3, Max Interval: 29
AssociateProfessor(ID156) => Min Interval: 16, Max Interval: 34
AssociateProfessor(ID161) => Min Interval: 32, Max Interval: 43
