Stored fact information:
AssociateProfessorCandidate(ID0) => Min Interval: 36, Max Interval: 39
AssociateProfessorCandidate(ID6) => Min Interval: 18, Max Interval: 48
AssociateProfessorCandidate(ID8) => Min Interval: 7, Max Interval: 35
AssociateProfessorCandidate(ID10) => Min Interval: 22, Max Interval: 49
AssociateProfessorCandidate(ID13) => Min Interval: 6, Max Interval: 48
AssociateProfessorCandidate(ID14) => Min Interval: 42, Max Interval: 46
AssociateProfessorCandidate(ID16) => Min Interval: 18, Max Interval: 26
AssociateProfessorCandidate(ID20) => Min Interval: 24, Max Interval: 27
AssociateProfessorCandidate(ID28) => Min Interval: 23, Max Interval: 51
AssociateProfessorCandidate(ID29) => Min Interval: 6, Max Interval: 47
AssociateProfessorCandidate(ID31) => Min Interval: 10, Max Interval: 44
AssociateProfessorCandidate(ID32) => Min Interval: 20, Max Interval: 22
AssociateProfessorCandidate(ID33) => Min Interval: 20, Max Interval: 53
AssociateProfessorCandidate(ID34) => Min Interval: 14, Max Interval: 45
AssociateProfessorCandidate(ID36) => Min Interval: 21, Max Interval: 40
AssociateProfessorCandidate(ID38) => Min Interval: 17, Max Interval: 34
AssociateProfessorCandidate(ID41) => Min Interval: 15, Max Interval: 21
AssociateProfessorCandidate(ID45) => Min Interval: 19, Max Interval: 41
AssociateProfessorCandidate(ID47) => Min Interval: 17, Max Interval: 47
AssociateProfessorCandidate(ID50) => Min Interval: 16, Max Interval: 49
AssociateProfessorCandidate(ID51) => Min Interval: 9, Max Interval: 42
AssociateProfessorCandidate(ID53) => Min Interval: 7, Max Interval: 51
AssociateProfessorCandidate(ID54) => Min Interval: 14, Max Interval: 44
AssociateProfessorCandidate(ID57) => Min Interval: 25, Max Interval: 40
AssociateProfessorCandidate(ID59) => Min Interval: 11, Max Interval: 46
AssociateProfessorCandidate(ID64) => Min Interval: 10, Max Interval: 51
AssociateProfessorCandidate(ID65) => Min Interval: 38, Max Interval: 45
AssociateProfessorCandidate(ID71) => Min Interval: 41, Max Interval: 46
AssociateProfessorCandidate(ID75) => Min Interval: 14, Max Interval: 48
AssociateProfessorCandidate(ID77) => Min Interval: 9, Max Interval: 35
AssociateProfessorCandidate(ID86) => Min Interval: 26, Max Interval: 49
AssociateProfessorCandidate(ID88) => Min Interval: 26, Max Interval: 40
AssociateProfessorCandidate(ID89) => Min Interval: 19, Max Interval: 40
AssociateProfessorCandidate(ID90) => Min Interval: 31, Max Interval: 38
AssociateProfessorCandidate(ID92) => Min Interval: 10, Max Interval: 31
AssociateProfessorCandidate(ID97) => Min Interval: 28, Max Interval: 52
AssociateProfessorCandidate(ID104) => Min Interval: 16, Max Interval: 37
AssociateProfessorCandidate(ID109) => Min Interval: 17, Max Interval: 50
AssociateProfessorCandidate(ID114) => Min Interval: 38, Max Interval: 54
AssociateProfessorCandidate(ID115) => Min Interval: 8, Max Interval: 53
AssociateProfessorCandidate(ID117) => Min Interval: 23, Max Interval: 47
