Stored fact information:
Faculty(ID0) => Min Interval: 30, Max Interval: 41
Faculty(ID6) => Min Interval: 12, Max Interval: 50
Faculty(ID7) => Min Interval: 0, Max Interval: 99
Faculty(ID8) => Min Interval: 1, Max Interval: 37
Faculty(ID10) => Min Interval: 16, Max Interval: 51
Faculty(ID11) => Min Interval: 1, Max Interval: 99
Faculty(ID13) => Min Interval: 0, Max Interval: 50
Faculty(ID14) => Min Interval: 36, Max Interval: 48
Faculty(ID16) => Min Interval: 12, Max Interval: 28
Faculty(ID20) => Min Interval: 18, Max Interval: 29
Faculty(ID26) => Min Interval: 0, Max Interval: 99
Faculty(ID28) => Min Interval: 17, Max Interval: 53
Faculty(ID29) => Min Interval: 0, Max Interval: 49
Faculty(ID31) => Min Interval: 4, Max Interval: 46
Faculty(ID32) => Min Interval: 14, Max Interval: 24
Faculty(ID33) => Min Interval: 14, Max Interval: 55
Faculty(ID34) => Min Interval: 8, Max Interval: 47
Faculty(ID36) => Min Interval: 15, Max Interval: 42
Faculty(ID38) => Min Interval: 11, Max Interval: 36
Faculty(ID41) => Min Interval: 9, Max Interval: 23
Faculty(ID42) => Min Interval: 0, Max Interval: 99
Faculty(ID43) => Min Interval: 0, Max Interval: 99
Faculty(ID45) => Min Interval: 13, Max Interval: 43
Faculty(ID47) => Min Interval: 11, Max Interval: 49
Faculty(ID50) => Min Interval: 10, Max Interval: 51
Faculty(ID51) => Min Interval: 3, Max Interval: 44
Faculty(ID53) => Min Interval: 1, Max Interval: 53
Faculty(ID54) => Min Interval: 8, Max Interval: 46
Faculty(ID57) => Min Interval: 19, Max Interval: 42
Faculty(ID58) => Min Interval: 1, Max Interval: 99
Faculty(ID59) => Min Interval: 5, Max Interval: 48
Faculty(ID64) => Min Interval: 4, Max Interval: 53
Faculty(ID65) => Min Interval: 32, Max Interval: 47
Faculty(ID71) => Min Interval: 35, Max Interval: 48
Faculty(ID75) => Min Interval: 8, Max Interval: 50
Faculty(ID77) => Min Interval: 3, Max Interval: 37
Faculty(ID82) => Min Interval: 0, Max Interval: 99
Faculty(ID86) => Min Interval: 20, Max Interval: 51
Faculty(ID88) => Min Interval: 20, Max Interval: 42
Faculty(ID89) => Min Interval: 13, Max Interval: 42
Faculty(ID90) => Min Interval: 25, Max Interval: 40
Faculty(ID92) => Min Interval: 4, Max Interval: 33
Faculty(ID93) => Min Interval: 1, Max Interval: 99
Faculty(ID96) => Min Interval: 8, Max Interval: 99
Faculty(ID97) => Min Interval: 22, Max Interval: 54
Faculty(ID104) => Min Interval: 10, Max Interval: 39
Faculty(ID109) => Min Interval: 0, Max Interval: 99
Faculty(ID111) => Min Interval: 1, Max Interval: 99
Faculty(ID114) => Min Interval: 5, Max Interval: 99
Faculty(ID115) => Min Interval: 0, Max Interval: 99
Faculty(ID117) => Min Interval: 17, Max Interval: 49
Faculty(ID119) => Min Interval: 11, Max Interval: 22
Faculty(ID120) => Min Interval: 29, Max Interval: 40
Faculty(ID123) => Min Interval: 25, Max Interval: 48
Faculty(ID125) => Min Interval: 3, Max Interval: 53
Faculty(ID128) => Min Interval: 3, Max Interval: 99
Faculty(ID131) => Min Interval: 2, Max Interval: 52
Faculty(ID133) => Min Interval: 9, Max Interval: 51
Faculty(ID135) => Min Interval: 20, Max Interval: 41
Faculty(ID138) => Min Interval: 9, Max Interval: 49
Faculty(ID140) => Min Interval: 14, Max Interval: 38
Faculty(ID144) => Min Interval: 23, Max Interval: 31
Faculty(ID148) => Min Interval: 7, Max Interval: 40
Faculty(ID150) => Min Interval: 7, Max Interval: 52
Faculty(ID152) => Min Interval: 5, Max Interval: 99
Faculty(ID153) => Min Interval: 5, Max Interval: 52
Faculty(ID154) => Min Interval: 0, Max Interval: 99
Faculty(ID156) => Min Interval: 9, Max Interval: 34
Faculty(ID161) => Min Interval: 25, Max Interval: 43
