Stored fact information:
FullProfessorCandidate(ID7) => Min Interval: 13, Max Interval: 51
FullProfessorCandidate(ID10) => Min Interval: 21, Max Interval: 49
FullProfessorCandidate(ID13) => Min Interval: 5, Max Interval: 47
FullProfessorCandidate(ID16) => Min Interval: 17, Max Interval: 29
FullProfessorCandidate(ID28) => Min Interval: 22, Max Interval: 51
FullProfessorCandidate(ID29) => Min Interval: 5, Max Interval: 49
FullProfessorCandidate(ID33) => Min Interval: 19, Max Interval: 53
FullProfessorCandidate(ID42) => Min Interval: 8, Max Interval: 36
FullProfessorCandidate(ID43) => Min Interval: 9, Max Interval: 51
FullProfessorCandidate(ID47) => Min Interval: 16, Max Interval: 47
FullProfessorCandidate(ID50) => Min Interval: 15, Max Interval: 48
FullProfessorCandidate(ID51) => Min Interval: 8, Max Interval: 45
FullProfessorCandidate(ID53) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID58) => Min Interval: 5, Max Interval: 51
FullProfessorCandidate(ID59) => Min Interval: 10, Max Interval: 49
FullProfessorCandidate(ID64) => Min Interval: 26, Max Interval: 53
FullProfessorCandidate(ID75) => Min Interval: 13, Max Interval: 48
FullProfessorCandidate(ID77) => Min Interval: 10, Max Interval: 38
FullProfessorCandidate(ID82) => Min Interval: 27, Max Interval: 42
FullProfessorCandidate(ID92) => Min Interval: 15, Max Interval: 34
FullProfessorCandidate(ID96) => Min Interval: 13, Max Interval: 48
FullProfessorCandidate(ID97) => Min Interval: 27, Max Interval: 52
FullProfessorCandidate(ID109) => Min Interval: 16, Max Interval: 52
FullProfessorCandidate(ID114) => Min Interval: 37, Max Interval: 49
FullProfessorCandidate(ID115) => Min Interval: 7, Max Interval: 53
FullProfessorCandidate(ID125) => Min Interval: 8, Max Interval: 53
FullProfessorCandidate(ID128) => Min Interval: 26, Max Interval: 43
FullProfessorCandidate(ID131) => Min Interval: 7, Max Interval: 53
FullProfessorCandidate(ID148) => Min Interval: 12, Max Interval: 41
FullProfessorCandidate(ID150) => Min Interval: 12, Max Interval: 52
FullProfessorCandidate(ID152) => Min Interval: 13, Max Interval: 38
FullProfessorCandidate(ID153) => Min Interval: 12, Max Interval: 33
FullProfessorCandidate(ID154) => Min Interval: 3, Max Interval: 30
FullProfessorCandidate(ID165) => Min Interval: 10, Max Interval: 34
FullProfessorCandidate(ID170) => Min Interval: 3, Max Interval: 50
FullProfessorCandidate(ID177) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID198) => Min Interval: 34, Max Interval: 47
FullProfessorCandidate(ID203) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID213) => Min Interval: 4, Max Interval: 46
FullProfessorCandidate(ID215) => Min Interval: 7, Max Interval: 43
FullProfessorCandidate(ID219) => Min Interval: 11, Max Interval: 31
FullProfessorCandidate(ID226) => Min Interval: 4, Max Interval: 46
FullProfessorCandidate(ID232) => Min Interval: 30, Max Interval: 50
FullProfessorCandidate(ID235) => Min Interval: 8, Max Interval: 43
FullProfessorCandidate(ID237) => Min Interval: 7, Max Interval: 53
FullProfessorCandidate(ID245) => Min Interval: 9, Max Interval: 52
FullProfessorCandidate(ID249) => Min Interval: 8, Max Interval: 40
FullProfessorCandidate(ID251) => Min Interval: 18, Max Interval: 49
FullProfessorCandidate(ID270) => Min Interval: 11, Max Interval: 36
FullProfessorCandidate(ID275) => Min Interval: 7, Max Interval: 43
FullProfessorCandidate(ID301) => Min Interval: 18, Max Interval: 47
FullProfessorCandidate(ID315) => Min Interval: 13, Max Interval: 38
FullProfessorCandidate(ID331) => Min Interval: 17, Max Interval: 27
FullProfessorCandidate(ID334) => Min Interval: 21, Max Interval: 50
FullProfessorCandidate(ID341) => Min Interval: 11, Max Interval: 46
FullProfessorCandidate(ID348) => Min Interval: 13, Max Interval: 50
FullProfessorCandidate(ID349) => Min Interval: 29, Max Interval: 37
FullProfessorCandidate(ID369) => Min Interval: 11, Max Interval: 44
FullProfessorCandidate(ID371) => Min Interval: 11, Max Interval: 50
FullProfessorCandidate(ID380) => Min Interval: 2, Max Interval: 14
FullProfessorCandidate(ID387) => Min Interval: 9, Max Interval: 41
FullProfessorCandidate(ID390) => Min Interval: 10, Max Interval: 50
FullProfessorCandidate(ID393) => Min Interval: 5, Max Interval: 32
FullProfessorCandidate(ID402) => Min Interval: 21, Max Interval: 39
FullProfessorCandidate(ID404) => Min Interval: 31, Max Interval: 44
FullProfessorCandidate(ID410) => Min Interval: 6, Max Interval: 51
FullProfessorCandidate(ID411) => Min Interval: 8, Max Interval: 30
FullProfessorCandidate(ID419) => Min Interval: 14, Max Interval: 43
FullProfessorCandidate(ID422) => Min Interval: 22, Max Interval: 49
FullProfessorCandidate(ID434) => Min Interval: 9, Max Interval: 46
FullProfessorCandidate(ID437) => Min Interval: 9, Max Interval: 49
FullProfessorCandidate(ID455) => Min Interval: 22, Max Interval: 43
FullProfessorCandidate(ID458) => Min Interval: 9, Max Interval: 49
FullProfessorCandidate(ID466) => Min Interval: 8, Max Interval: 48
FullProfessorCandidate(ID473) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID478) => Min Interval: 11, Max Interval: 49
FullProfessorCandidate(ID482) => Min Interval: 1, Max Interval: 39
FullProfessorCandidate(ID505) => Min Interval: 5, Max Interval: 38
FullProfessorCandidate(ID509) => Min Interval: 9, Max Interval: 48
FullProfessorCandidate(ID512) => Min Interval: 15, Max Interval: 41
FullProfessorCandidate(ID518) => Min Interval: 7, Max Interval: 44
FullProfessorCandidate(ID520) => Min Interval: 10, Max Interval: 34
FullProfessorCandidate(ID523) => Min Interval: 20, Max Interval: 42
FullProfessorCandidate(ID527) => Min Interval: 18, Max Interval: 47
FullProfessorCandidate(ID539) => Min Interval: 11, Max Interval: 43
FullProfessorCandidate(ID552) => Min Interval: 21, Max Interval: 52
FullProfessorCandidate(ID559) => Min Interval: 9, Max Interval: 52
FullProfessorCandidate(ID567) => Min Interval: 13, Max Interval: 46
FullProfessorCandidate(ID569) => Min Interval: 12, Max Interval: 43
FullProfessorCandidate(ID574) => Min Interval: 6, Max Interval: 53
FullProfessorCandidate(ID590) => Min Interval: 7, Max Interval: 49
FullProfessorCandidate(ID619) => Min Interval: 13, Max Interval: 53
FullProfessorCandidate(ID626) => Min Interval: 22, Max Interval: 35
FullProfessorCandidate(ID640) => Min Interval: 7, Max Interval: 48
FullProfessorCandidate(ID647) => Min Interval: 1, Max Interval: 43
