Stored fact information:
ResearchAssistantCandidate(ID0) => Min Interval: 27, Max Interval: 40
ResearchAssistantCandidate(ID2) => Min Interval: 5, Max Interval: 42
ResearchAssistantCandidate(ID6) => Min Interval: 9, Max Interval: 49
ResearchAssistantCandidate(ID8) => Min Interval: 0, Max Interval: 31
ResearchAssistantCandidate(ID10) => Min Interval: 15, Max Interval: 48
ResearchAssistantCandidate(ID13) => Min Interval: 0, Max Interval: 49
ResearchAssistantCandidate(ID14) => Min Interval: 33, Max Interval: 47
ResearchAssistantCandidate(ID16) => Min Interval: 13, Max Interval: 23
ResearchAssistantCandidate(ID20) => Min Interval: 15, Max Interval: 28
ResearchAssistantCandidate(ID22) => Min Interval: 42, Max Interval: 46
ResearchAssistantCandidate(ID28) => Min Interval: 27, Max Interval: 37
ResearchAssistantCandidate(ID29) => Min Interval: 0, Max Interval: 35
ResearchAssistantCandidate(ID31) => Min Interval: 1, Max Interval: 45
ResearchAssistantCandidate(ID32) => Min Interval: 11, Max Interval: 23
ResearchAssistantCandidate(ID33) => Min Interval: 29, Max Interval: 50
ResearchAssistantCandidate(ID34) => Min Interval: 5, Max Interval: 46
ResearchAssistantCandidate(ID36) => Min Interval: 12, Max Interval: 41
ResearchAssistantCandidate(ID38) => Min Interval: 8, Max Interval: 35
ResearchAssistantCandidate(ID39) => Min Interval: 9, Max Interval: 35
ResearchAssistantCandidate(ID41) => Min Interval: 6, Max Interval: 42
ResearchAssistantCandidate(ID45) => Min Interval: 10, Max Interval: 42
ResearchAssistantCandidate(ID47) => Min Interval: 12, Max Interval: 45
ResearchAssistantCandidate(ID50) => Min Interval: 1, Max Interval: 50
ResearchAssistantCandidate(ID51) => Min Interval: 13, Max Interval: 39
ResearchAssistantCandidate(ID53) => Min Interval: 0, Max Interval: 48
ResearchAssistantCandidate(ID54) => Min Interval: 5, Max Interval: 45
ResearchAssistantCandidate(ID57) => Min Interval: 16, Max Interval: 41
ResearchAssistantCandidate(ID59) => Min Interval: 6, Max Interval: 43
ResearchAssistantCandidate(ID61) => Min Interval: 32, Max Interval: 35
ResearchAssistantCandidate(ID64) => Min Interval: 1, Max Interval: 48
ResearchAssistantCandidate(ID65) => Min Interval: 29, Max Interval: 46
ResearchAssistantCandidate(ID71) => Min Interval: 32, Max Interval: 47
ResearchAssistantCandidate(ID72) => Min Interval: 8, Max Interval: 12
ResearchAssistantCandidate(ID75) => Min Interval: 9, Max Interval: 48
ResearchAssistantCandidate(ID77) => Min Interval: 0, Max Interval: 32
ResearchAssistantCandidate(ID86) => Min Interval: 21, Max Interval: 47
ResearchAssistantCandidate(ID88) => Min Interval: 17, Max Interval: 41
ResearchAssistantCandidate(ID89) => Min Interval: 10, Max Interval: 41
ResearchAssistantCandidate(ID90) => Min Interval: 22, Max Interval: 39
ResearchAssistantCandidate(ID92) => Min Interval: 1, Max Interval: 28
ResearchAssistantCandidate(ID97) => Min Interval: 23, Max Interval: 52
ResearchAssistantCandidate(ID100) => Min Interval: 19, Max Interval: 50
ResearchAssistantCandidate(ID102) => Min Interval: 12, Max Interval: 18
ResearchAssistantCandidate(ID104) => Min Interval: 7, Max Interval: 38
ResearchAssistantCandidate(ID106) => Min Interval: 21, Max Interval: 25
ResearchAssistantCandidate(ID117) => Min Interval: 14, Max Interval: 48
ResearchAssistantCandidate(ID119) => Min Interval: 8, Max Interval: 46
ResearchAssistantCandidate(ID120) => Min Interval: 26, Max Interval: 39
ResearchAssistantCandidate(ID123) => Min Interval: 22, Max Interval: 47
ResearchAssistantCandidate(ID125) => Min Interval: 1, Max Interval: 48
ResearchAssistantCandidate(ID131) => Min Interval: 3, Max Interval: 47
ResearchAssistantCandidate(ID133) => Min Interval: 6, Max Interval: 50
ResearchAssistantCandidate(ID135) => Min Interval: 17, Max Interval: 40
ResearchAssistantCandidate(ID138) => Min Interval: 6, Max Interval: 48
ResearchAssistantCandidate(ID140) => Min Interval: 11, Max Interval: 37
ResearchAssistantCandidate(ID144) => Min Interval: 20, Max Interval: 41
ResearchAssistantCandidate(ID148) => Min Interval: 8, Max Interval: 35
ResearchAssistantCandidate(ID150) => Min Interval: 8, Max Interval: 45
ResearchAssistantCandidate(ID153) => Min Interval: 2, Max Interval: 51
ResearchAssistantCandidate(ID156) => Min Interval: 6, Max Interval: 33
ResearchAssistantCandidate(ID161) => Min Interval: 14, Max Interval: 42
ResearchAssistantCandidate(ID165) => Min Interval: 6, Max Interval: 28
ResearchAssistantCandidate(ID168) => Min Interval: 25, Max Interval: 35
ResearchAssistantCandidate(ID173) => Min Interval: 8, Max Interval: 47
ResearchAssistantCandidate(ID174) => Min Interval: 20, Max Interval: 27
ResearchAssistantCandidate(ID177) => Min Interval: 2, Max Interval: 46
ResearchAssistantCandidate(ID180) => Min Interval: 9, Max Interval: 9
ResearchAssistantCandidate(ID182) => Min Interval: 8, Max Interval: 24
ResearchAssistantCandidate(ID187) => Min Interval: 5, Max Interval: 38
ResearchAssistantCandidate(ID190) => Min Interval: 14, Max Interval: 27
ResearchAssistantCandidate(ID193) => Min Interval: 26, Max Interval: 43
ResearchAssistantCandidate(ID194) => Min Interval: 14, Max Interval: 44
ResearchAssistantCandidate(ID196) => Min Interval: 6, Max Interval: 49
ResearchAssistantCandidate(ID198) => Min Interval: 14, Max Interval: 50
ResearchAssistantCandidate(ID203) => Min Interval: 1, Max Interval: 52
ResearchAssistantCandidate(ID207) => Min Interval: 11, Max Interval: 47
ResearchAssistantCandidate(ID209) => Min Interval: 12, Max Interval: 36
ResearchAssistantCandidate(ID211) => Min Interval: 16, Max Interval: 45
ResearchAssistantCandidate(ID218) => Min Interval: 31, Max Interval: 39
ResearchAssistantCandidate(ID219) => Min Interval: 7, Max Interval: 25
ResearchAssistantCandidate(ID222) => Min Interval: 32, Max Interval: 40
ResearchAssistantCandidate(ID224) => Min Interval: 26, Max Interval: 41
ResearchAssistantCandidate(ID228) => Min Interval: 7, Max Interval: 41
ResearchAssistantCandidate(ID229) => Min Interval: 8, Max Interval: 42
ResearchAssistantCandidate(ID232) => Min Interval: 0, Max Interval: 36
