Stored fact information:
ScientistCandidate(ID7) => Min Interval: 5, Max Interval: 48
ScientistCandidate(ID11) => Min Interval: 14, Max Interval: 44
ScientistCandidate(ID26) => Min Interval: 18, Max Interval: 42
ScientistCandidate(ID42) => Min Interval: 21, Max Interval: 40
ScientistCandidate(ID43) => Min Interval: 11, Max Interval: 47
ScientistCandidate(ID58) => Min Interval: 9, Max Interval: 51
ScientistCandidate(ID82) => Min Interval: 3, Max Interval: 50
ScientistCandidate(ID93) => Min Interval: 4, Max Interval: 31
ScientistCandidate(ID96) => Min Interval: 6, Max Interval: 45
ScientistCandidate(ID109) => Min Interval: 3, Max Interval: 51
ScientistCandidate(ID111) => Min Interval: 1, Max Interval: 36
ScientistCandidate(ID114) => Min Interval: 39, Max Interval: 52
ScientistCandidate(ID115) => Min Interval: 5, Max Interval: 21
ScientistCandidate(ID128) => Min Interval: 15, Max Interval: 38
ScientistCandidate(ID152) => Min Interval: 32, Max Interval: 44
ScientistCandidate(ID154) => Min Interval: 8, Max Interval: 46
ScientistCandidate(ID170) => Min Interval: 2, Max Interval: 51
ScientistCandidate(ID178) => Min Interval: 2, Max Interval: 45
ScientistCandidate(ID188) => Min Interval: 21, Max Interval: 39
ScientistCandidate(ID204) => Min Interval: 2, Max Interval: 41
ScientistCandidate(ID213) => Min Interval: 16, Max Interval: 51
ScientistCandidate(ID215) => Min Interval: 13, Max Interval: 46
ScientistCandidate(ID226) => Min Interval: 3, Max Interval: 23
ScientistCandidate(ID235) => Min Interval: 5, Max Interval: 40
ScientistCandidate(ID270) => Min Interval: 9, Max Interval: 32
ScientistCandidate(ID291) => Min Interval: 2, Max Interval: 39
ScientistCandidate(ID320) => Min Interval: 1, Max Interval: 49
ScientistCandidate(ID331) => Min Interval: 16, Max Interval: 50
ScientistCandidate(ID371) => Min Interval: 15, Max Interval: 35
ScientistCandidate(ID380) => Min Interval: 2, Max Interval: 48
ScientistCandidate(ID482) => Min Interval: 5, Max Interval: 29
ScientistCandidate(ID505) => Min Interval: 6, Max Interval: 50
ScientistCandidate(ID518) => Min Interval: 12, Max Interval: 50
ScientistCandidate(ID640) => Min Interval: 10, Max Interval: 38
ScientistCandidate(ID647) => Min Interval: 16, Max Interval: 48
