Stored fact information:
Student(ID0) => Min Interval: 3, Max Interval: 44
Student(ID2) => Min Interval: 0, Max Interval: 43
Student(ID6) => Min Interval: 4, Max Interval: 50
Student(ID8) => Min Interval: 6, Max Interval: 46
Student(ID10) => Min Interval: 21, Max Interval: 37
Student(ID13) => Min Interval: 8, Max Interval: 47
Student(ID14) => Min Interval: 3, Max Interval: 47
Student(ID16) => Min Interval: 17, Max Interval: 37
Student(ID20) => Min Interval: 4, Max Interval: 29
Student(ID22) => Min Interval: 3, Max Interval: 46
Student(ID28) => Min Interval: 16, Max Interval: 47
Student(ID29) => Min Interval: 20, Max Interval: 44
Student(ID31) => Min Interval: 6, Max Interval: 44
Student(ID32) => Min Interval: 6, Max Interval: 44
Student(ID33) => Min Interval: 10, Max Interval: 46
Student(ID34) => Min Interval: 0, Max Interval: 47
Student(ID36) => Min Interval: 7, Max Interval: 45
Student(ID38) => Min Interval: 3, Max Interval: 46
Student(ID39) => Min Interval: 4, Max Interval: 35
Student(ID41) => Min Interval: 1, Max Interval: 43
Student(ID45) => Min Interval: 5, Max Interval: 44
Student(ID47) => Min Interval: 3, Max Interval: 47
Student(ID50) => Min Interval: 8, Max Interval: 37
Student(ID51) => Min Interval: 36, Max Interval: 47
Student(ID53) => Min Interval: 7, Max Interval: 39
Student(ID54) => Min Interval: 0, Max Interval: 47
Student(ID57) => Min Interval: 6, Max Interval: 43
Student(ID59) => Min Interval: 17, Max Interval: 45
Student(ID61) => Min Interval: 10, Max Interval: 42
Student(ID64) => Min Interval: 7, Max Interval: 44
Student(ID65) => Min Interval: 3, Max Interval: 47
Student(ID71) => Min Interval: 7, Max Interval: 47
Student(ID72) => Min Interval: 3, Max Interval: 43
Student(ID75) => Min Interval: 5, Max Interval: 41
Student(ID77) => Min Interval: 13, Max Interval: 38
Student(ID86) => Min Interval: 3, Max Interval: 36
Student(ID88) => Min Interval: 12, Max Interval: 49
Student(ID89) => Min Interval: 5, Max Interval: 42
Student(ID90) => Min Interval: 17, Max Interval: 44
Student(ID92) => Min Interval: 3, Max Interval: 49
Student(ID97) => Min Interval: 9, Max Interval: 48
Student(ID100) => Min Interval: 13, Max Interval: 50
Student(ID102) => Min Interval: 7, Max Interval: 35
Student(ID104) => Min Interval: 2, Max Interval: 45
Student(ID106) => Min Interval: 5, Max Interval: 37
Student(ID117) => Min Interval: 9, Max Interval: 48
Student(ID119) => Min Interval: 3, Max Interval: 46
Student(ID120) => Min Interval: 7, Max Interval: 47
Student(ID123) => Min Interval: 17, Max Interval: 47
Student(ID125) => Min Interval: 8, Max Interval: 40
Student(ID131) => Min Interval: 3, Max Interval: 37
Student(ID133) => Min Interval: 1, Max Interval: 50
Student(ID135) => Min Interval: 11, Max Interval: 44
Student(ID138) => Min Interval: 1, Max Interval: 48
Student(ID140) => Min Interval: 4, Max Interval: 43
Student(ID144) => Min Interval: 13, Max Interval: 41
Student(ID145) => Min Interval: 2, Max Interval: 45
Student(ID148) => Min Interval: 16, Max Interval: 41
Student(ID150) => Min Interval: 2, Max Interval: 48
Student(ID153) => Min Interval: 3, Max Interval: 48
Student(ID156) => Min Interval: 1, Max Interval: 34
Student(ID161) => Min Interval: 9, Max Interval: 49
Student(ID165) => Min Interval: 13, Max Interval: 47
Student(ID168) => Min Interval: 20, Max Interval: 46
Student(ID173) => Min Interval: 3, Max Interval: 48
Student(ID174) => Min Interval: 11, Max Interval: 50
Student(ID177) => Min Interval: 9, Max Interval: 41
Student(ID180) => Min Interval: 4, Max Interval: 35
Student(ID182) => Min Interval: 3, Max Interval: 40
Student(ID187) => Min Interval: 0, Max Interval: 47
Student(ID190) => Min Interval: 0, Max Interval: 31
Student(ID193) => Min Interval: 14, Max Interval: 46
Student(ID194) => Min Interval: 9, Max Interval: 44
Student(ID196) => Min Interval: 1, Max Interval: 49
Student(ID198) => Min Interval: 7, Max Interval: 45
Student(ID203) => Min Interval: 11, Max Interval: 41
Student(ID207) => Min Interval: 6, Max Interval: 47
Student(ID209) => Min Interval: 6, Max Interval: 37
Student(ID211) => Min Interval: 5, Max Interval: 45
Student(ID218) => Min Interval: 8, Max Interval: 39
Student(ID219) => Min Interval: 4, Max Interval: 37
Student(ID222) => Min Interval: 21, Max Interval: 40
Student(ID224) => Min Interval: 6, Max Interval: 43
Student(ID228) => Min Interval: 2, Max Interval: 43
Student(ID229) => Min Interval: 8, Max Interval: 47
Student(ID232) => Min Interval: 4, Max Interval: 48
Student(ID233) => Min Interval: 5, Max Interval: 42
Student(ID237) => Min Interval: 10, Max Interval: 39
Student(ID242) => Min Interval: 10, Max Interval: 39
Student(ID245) => Min Interval: 0, Max Interval: 38
Student(ID247) => Min Interval: 8, Max Interval: 48
Student(ID249) => Min Interval: 3, Max Interval: 38
Student(ID251) => Min Interval: 4, Max Interval: 42
Student(ID253) => Min Interval: 1, Max Interval: 33
Student(ID254) => Min Interval: 15, Max Interval: 48
Student(ID259) => Min Interval: 5, Max Interval: 48
Student(ID261) => Min Interval: 6, Max Interval: 44
Student(ID267) => Min Interval: 4, Max Interval: 48
Student(ID271) => Min Interval: 6, Max Interval: 47
Student(ID275) => Min Interval: 10, Max Interval: 47
Student(ID276) => Min Interval: 15, Max Interval: 48
Student(ID277) => Min Interval: 2, Max Interval: 50
Student(ID280) => Min Interval: 9, Max Interval: 47
Student(ID282) => Min Interval: 10, Max Interval: 37
Student(ID288) => Min Interval: 3, Max Interval: 44
Student(ID289) => Min Interval: 4, Max Interval: 38
Student(ID292) => Min Interval: 4, Max Interval: 50
Student(ID294) => Min Interval: 8, Max Interval: 50
Student(ID295) => Min Interval: 6, Max Interval: 48
Student(ID296) => Min Interval: 8, Max Interval: 42
Student(ID298) => Min Interval: 7, Max Interval: 48
Student(ID299) => Min Interval: 6, Max Interval: 37
Student(ID301) => Min Interval: 5, Max Interval: 46
Student(ID303) => Min Interval: 9, Max Interval: 47
Student(ID306) => Min Interval: 4, Max Interval: 49
Student(ID312) => Min Interval: 3, Max Interval: 42
Student(ID315) => Min Interval: 29, Max Interval: 38
Student(ID321) => Min Interval: 2, Max Interval: 43
Student(ID327) => Min Interval: 3, Max Interval: 41
Student(ID333) => Min Interval: 3, Max Interval: 46
Student(ID334) => Min Interval: 13, Max Interval: 42
Student(ID339) => Min Interval: 2, Max Interval: 36
Student(ID341) => Min Interval: 3, Max Interval: 35
Student(ID346) => Min Interval: 0, Max Interval: 47
Student(ID348) => Min Interval: 1, Max Interval: 32
Student(ID349) => Min Interval: 37, Max Interval: 43
Student(ID350) => Min Interval: 0, Max Interval: 35
Student(ID352) => Min Interval: 1, Max Interval: 44
Student(ID355) => Min Interval: 19, Max Interval: 50
Student(ID359) => Min Interval: 11, Max Interval: 46
Student(ID364) => Min Interval: 13, Max Interval: 29
Student(ID367) => Min Interval: 6, Max Interval: 34
Student(ID369) => Min Interval: 5, Max Interval: 40
Student(ID373) => Min Interval: 23, Max Interval: 44
Student(ID375) => Min Interval: 8, Max Interval: 49
Student(ID377) => Min Interval: 4, Max Interval: 47
Student(ID382) => Min Interval: 17, Max Interval: 41
Student(ID387) => Min Interval: 9, Max Interval: 44
Student(ID389) => Min Interval: 3, Max Interval: 34
Student(ID390) => Min Interval: 8, Max Interval: 48
Student(ID393) => Min Interval: 0, Max Interval: 47
Student(ID395) => Min Interval: 13, Max Interval: 50
Student(ID396) => Min Interval: 6, Max Interval: 48
Student(ID398) => Min Interval: 1, Max Interval: 50
Student(ID401) => Min Interval: 4, Max Interval: 49
Student(ID402) => Min Interval: 5, Max Interval: 41
Student(ID404) => Min Interval: 5, Max Interval: 47
Student(ID407) => Min Interval: 12, Max Interval: 50
Student(ID410) => Min Interval: 20, Max Interval: 45
Student(ID411) => Min Interval: 9, Max Interval: 19
Student(ID414) => Min Interval: 10, Max Interval: 43
Student(ID418) => Min Interval: 4, Max Interval: 43
Student(ID419) => Min Interval: 16, Max Interval: 21
Student(ID422) => Min Interval: 5, Max Interval: 47
Student(ID428) => Min Interval: 7, Max Interval: 29
Student(ID434) => Min Interval: 9, Max Interval: 47
Student(ID436) => Min Interval: 2, Max Interval: 46
Student(ID437) => Min Interval: 5, Max Interval: 46
Student(ID439) => Min Interval: 7, Max Interval: 41
Student(ID441) => Min Interval: 4, Max Interval: 39
Student(ID443) => Min Interval: 6, Max Interval: 46
Student(ID446) => Min Interval: 6, Max Interval: 43
Student(ID447) => Min Interval: 5, Max Interval: 40
Student(ID448) => Min Interval: 5, Max Interval: 50
Student(ID450) => Min Interval: 5, Max Interval: 47
Student(ID455) => Min Interval: 21, Max Interval: 47
Student(ID456) => Min Interval: 0, Max Interval: 44
Student(ID458) => Min Interval: 4, Max Interval: 36
Student(ID459) => Min Interval: 6, Max Interval: 48
Student(ID461) => Min Interval: 3, Max Interval: 45
Student(ID462) => Min Interval: 15, Max Interval: 45
Student(ID466) => Min Interval: 3, Max Interval: 40
Student(ID468) => Min Interval: 8, Max Interval: 46
Student(ID469) => Min Interval: 10, Max Interval: 40
Student(ID470) => Min Interval: 15, Max Interval: 49
Student(ID471) => Min Interval: 3, Max Interval: 28
