Stored fact information:
TeachingAssistant(ID10) => Min Interval: 15, Max Interval: 50
TeachingAssistant(ID50) => Min Interval: 1, Max Interval: 46
TeachingAssistant(ID64) => Min Interval: 5, Max Interval: 50
TeachingAssistant(ID177) => Min Interval: 13, Max Interval: 48
TeachingAssistant(ID242) => Min Interval: 12, Max Interval: 49
TeachingAssistant(ID245) => Min Interval: 9, Max Interval: 49
TeachingAssistant(ID249) => Min Interval: 10, Max Interval: 30
TeachingAssistant(ID251) => Min Interval: 13, Max Interval: 45
TeachingAssistant(ID261) => Min Interval: 1, Max Interval: 43
TeachingAssistant(ID289) => Min Interval: 4, Max Interval: 26
TeachingAssistant(ID303) => Min Interval: 12, Max Interval: 44
TeachingAssistant(ID341) => Min Interval: 5, Max Interval: 49
TeachingAssistant(ID348) => Min Interval: 3, Max Interval: 45
TeachingAssistant(ID411) => Min Interval: 2, Max Interval: 43
TeachingAssistant(ID434) => Min Interval: 1, Max Interval: 46
TeachingAssistant(ID473) => Min Interval: 0, Max Interval: 45
TeachingAssistant(ID509) => Min Interval: 2, Max Interval: 48
TeachingAssistant(ID520) => Min Interval: 2, Max Interval: 36
TeachingAssistant(ID711) => Min Interval: 7, Max Interval: 50
TeachingAssistant(ID729) => Min Interval: 13, Max Interval: 50
TeachingAssistant(ID734) => Min Interval: 4, Max Interval: 41
TeachingAssistant(ID941) => Min Interval: 11, Max Interval: 44
TeachingAssistant(ID1202) => Min Interval: 0, Max Interval: 47
TeachingAssistant(ID1865) => Min Interval: 4, Max Interval: 39
TeachingAssistant(ID1918) => Min Interval: 10, Max Interval: 48
TeachingAssistant(ID1965) => Min Interval: 4, Max Interval: 47
TeachingAssistant(ID1975) => Min Interval: 8, Max Interval: 37
TeachingAssistant(ID2022) => Min Interval: 1, Max Interval: 40
TeachingAssistant(ID2042) => Min Interval: 18, Max Interval: 49
TeachingAssistant(ID2044) => Min Interval: 18, Max Interval: 49
TeachingAssistant(ID2048) => Min Interval: 11, Max Interval: 50
TeachingAssistant(ID2074) => Min Interval: 9, Max Interval: 50
TeachingAssistant(ID2094) => Min Interval: 6, Max Interval: 31
TeachingAssistant(ID2109) => Min Interval: 1, Max Interval: 48
TeachingAssistant(ID2128) => Min Interval: 20, Max Interval: 49
TeachingAssistant(ID2130) => Min Interval: 1, Max Interval: 49
TeachingAssistant(ID2158) => Min Interval: 9, Max Interval: 48
TeachingAssistant(ID2169) => Min Interval: 2, Max Interval: 27
TeachingAssistant(ID2182) => Min Interval: 1, Max Interval: 42
TeachingAssistant(ID2252) => Min Interval: 2, Max Interval: 48
TeachingAssistant(ID2281) => Min Interval: 5, Max Interval: 50
TeachingAssistant(ID2302) => Min Interval: 1, Max Interval: 49
TeachingAssistant(ID2310) => Min Interval: 1, Max Interval: 44
TeachingAssistant(ID2323) => Min Interval: 1, Max Interval: 32
TeachingAssistant(ID2360) => Min Interval: 1, Max Interval: 50
TeachingAssistant(ID2455) => Min Interval: 4, Max Interval: 49
TeachingAssistant(ID2518) => Min Interval: 8, Max Interval: 49
TeachingAssistant(ID2854) => Min Interval: 6, Max Interval: 49
TeachingAssistant(ID2864) => Min Interval: 11, Max Interval: 44
TeachingAssistant(ID2910) => Min Interval: 3, Max Interval: 48
TeachingAssistant(ID2916) => Min Interval: 6, Max Interval: 43
TeachingAssistant(ID2966) => Min Interval: 10, Max Interval: 48
TeachingAssistant(ID3025) => Min Interval: 7, Max Interval: 43
TeachingAssistant(ID3029) => Min Interval: 5, Max Interval: 42
TeachingAssistant(ID3030) => Min Interval: 11, Max Interval: 48
TeachingAssistant(ID3038) => Min Interval: 0, Max Interval: 49
TeachingAssistant(ID3042) => Min Interval: 1, Max Interval: 45
TeachingAssistant(ID3077) => Min Interval: 5, Max Interval: 48
TeachingAssistant(ID3088) => Min Interval: 16, Max Interval: 37
TeachingAssistant(ID3125) => Min Interval: 13, Max Interval: 47
TeachingAssistant(ID3151) => Min Interval: 12, Max Interval: 49
TeachingAssistant(ID3251) => Min Interval: 5, Max Interval: 45
TeachingAssistant(ID3265) => Min Interval: 1, Max Interval: 50
TeachingAssistant(ID3284) => Min Interval: 3, Max Interval: 44
TeachingAssistant(ID3289) => Min Interval: 1, Max Interval: 48
TeachingAssistant(ID3317) => Min Interval: 10, Max Interval: 48
TeachingAssistant(ID3393) => Min Interval: 29, Max Interval: 50
TeachingAssistant(ID3415) => Min Interval: 7, Max Interval: 43
TeachingAssistant(ID3436) => Min Interval: 1, Max Interval: 46
