Stored fact information:
Work(ID1) => Min Interval: 3, Max Interval: 45
Work(ID4) => Min Interval: 20, Max Interval: 49
Work(ID15) => Min Interval: 1, Max Interval: 31
Work(ID17) => Min Interval: 0, Max Interval: 48
Work(ID21) => Min Interval: 1, Max Interval: 39
Work(ID35) => Min Interval: 3, Max Interval: 50
Work(ID37) => Min Interval: 6, Max Interval: 48
Work(ID40) => Min Interval: 6, Max Interval: 45
Work(ID55) => Min Interval: 10, Max Interval: 50
Work(ID62) => Min Interval: 0, Max Interval: 47
Work(ID66) => Min Interval: 2, Max Interval: 44
Work(ID68) => Min Interval: 6, Max Interval: 49
Work(ID73) => Min Interval: 8, Max Interval: 50
Work(ID74) => Min Interval: 2, Max Interval: 37
Work(ID83) => Min Interval: 3, Max Interval: 44
Work(ID101) => Min Interval: 2, Max Interval: 46
Work(ID103) => Min Interval: 0, Max Interval: 48
Work(ID105) => Min Interval: 2, Max Interval: 45
Work(ID107) => Min Interval: 2, Max Interval: 45
Work(ID118) => Min Interval: 2, Max Interval: 42
Work(ID124) => Min Interval: 1, Max Interval: 42
Work(ID134) => Min Interval: 4, Max Interval: 50
Work(ID136) => Min Interval: 0, Max Interval: 43
Work(ID139) => Min Interval: 13, Max Interval: 46
Work(ID146) => Min Interval: 0, Max Interval: 45
Work(ID171) => Min Interval: 0, Max Interval: 47
Work(ID181) => Min Interval: 5, Max Interval: 43
Work(ID183) => Min Interval: 1, Max Interval: 45
Work(ID191) => Min Interval: 13, Max Interval: 48
Work(ID192) => Min Interval: 14, Max Interval: 46
Work(ID195) => Min Interval: 3, Max Interval: 46
Work(ID197) => Min Interval: 2, Max Interval: 49
Work(ID202) => Min Interval: 1, Max Interval: 46
Work(ID206) => Min Interval: 8, Max Interval: 43
Work(ID210) => Min Interval: 6, Max Interval: 49
Work(ID223) => Min Interval: 6, Max Interval: 45
Work(ID230) => Min Interval: 5, Max Interval: 45
Work(ID239) => Min Interval: 3, Max Interval: 40
Work(ID246) => Min Interval: 4, Max Interval: 48
Work(ID248) => Min Interval: 12, Max Interval: 34
Work(ID252) => Min Interval: 7, Max Interval: 25
Work(ID255) => Min Interval: 5, Max Interval: 48
Work(ID260) => Min Interval: 9, Max Interval: 43
Work(ID264) => Min Interval: 7, Max Interval: 44
Work(ID268) => Min Interval: 2, Max Interval: 49
Work(ID269) => Min Interval: 0, Max Interval: 37
Work(ID281) => Min Interval: 22, Max Interval: 48
Work(ID285) => Min Interval: 0, Max Interval: 48
Work(ID322) => Min Interval: 10, Max Interval: 44
Work(ID325) => Min Interval: 8, Max Interval: 45
Work(ID343) => Min Interval: 15, Max Interval: 47
Work(ID347) => Min Interval: 7, Max Interval: 40
Work(ID351) => Min Interval: 0, Max Interval: 41
Work(ID353) => Min Interval: 4, Max Interval: 49
Work(ID362) => Min Interval: 0, Max Interval: 49
Work(ID365) => Min Interval: 1, Max Interval: 50
Work(ID368) => Min Interval: 8, Max Interval: 49
Work(ID370) => Min Interval: 8, Max Interval: 40
Work(ID376) => Min Interval: 5, Max Interval: 47
Work(ID391) => Min Interval: 6, Max Interval: 46
Work(ID415) => Min Interval: 17, Max Interval: 48
Work(ID424) => Min Interval: 9, Max Interval: 38
Work(ID430) => Min Interval: 0, Max Interval: 49
Work(ID440) => Min Interval: 1, Max Interval: 45
Work(ID449) => Min Interval: 5, Max Interval: 50
Work(ID452) => Min Interval: 2, Max Interval: 39
Work(ID453) => Min Interval: 11, Max Interval: 49
Work(ID463) => Min Interval: 7, Max Interval: 49
Work(ID465) => Min Interval: 1, Max Interval: 48
Work(ID474) => Min Interval: 0, Max Interval: 37
Work(ID484) => Min Interval: 1, Max Interval: 38
Work(ID506) => Min Interval: 0, Max Interval: 48
Work(ID536) => Min Interval: 5, Max Interval: 45
Work(ID545) => Min Interval: 4, Max Interval: 45
Work(ID550) => Min Interval: 2, Max Interval: 46
Work(ID577) => Min Interval: 22, Max Interval: 47
Work(ID585) => Min Interval: 0, Max Interval: 50
Work(ID598) => Min Interval: 10, Max Interval: 44
Work(ID608) => Min Interval: 4, Max Interval: 45
Work(ID631) => Min Interval: 1, Max Interval: 27
Work(ID650) => Min Interval: 3, Max Interval: 43
Work(ID690) => Min Interval: 0, Max Interval: 45
Work(ID708) => Min Interval: 0, Max Interval: 49
