Stored fact information:
FullProfessor(ID11) => Min Interval: 11, Max Interval: 43
FullProfessor(ID26) => Min Interval: 10, Max Interval: 43
FullProfessor(ID93) => Min Interval: 1, Max Interval: 45
FullProfessor(ID111) => Min Interval: 7, Max Interval: 38
FullProfessor(ID178) => Min Interval: 10, Max Interval: 37
FullProfessor(ID188) => Min Interval: 18, Max Interval: 47
FullProfessor(ID204) => Min Interval: 14, Max Interval: 29
FullProfessor(ID291) => Min Interval: 16, Max Interval: 40
FullProfessor(ID320) => Min Interval: 13, Max Interval: 37
FullProfessor(ID1905) => Min Interval: 3, Max Interval: 20
FullProfessor(ID1982) => Min Interval: 7, Max Interval: 33
FullProfessor(ID1986) => Min Interval: 6, Max Interval: 38
FullProfessor(ID1992) => Min Interval: 4, Max Interval: 26
FullProfessor(ID2039) => Min Interval: 2, Max Interval: 35
FullProfessor(ID2068) => Min Interval: 10, Max Interval: 27
FullProfessor(ID2123) => Min Interval: 3, Max Interval: 41
FullProfessor(ID2919) => Min Interval: 16, Max Interval: 33
FullProfessor(ID2956) => Min Interval: 11, Max Interval: 32
FullProfessor(ID2963) => Min Interval: 22, Max Interval: 43
FullProfessor(ID2974) => Min Interval: 15, Max Interval: 48
FullProfessor(ID2980) => Min Interval: 2, Max Interval: 34
FullProfessor(ID3018) => Min Interval: 12, Max Interval: 44
FullProfessor(ID3139) => Min Interval: 4, Max Interval: 26
FullProfessor(ID3861) => Min Interval: 19, Max Interval: 43
FullProfessor(ID3871) => Min Interval: 9, Max Interval: 43
FullProfessor(ID3894) => Min Interval: 7, Max Interval: 39
FullProfessor(ID4005) => Min Interval: 4, Max Interval: 50
FullProfessor(ID4011) => Min Interval: 14, Max Interval: 34
FullProfessor(ID4078) => Min Interval: 15, Max Interval: 43
FullProfessor(ID4095) => Min Interval: 19, Max Interval: 47
FullProfessor(ID4140) => Min Interval: 3, Max Interval: 38
FullProfessor(ID4152) => Min Interval: 15, Max Interval: 45
FullProfessor(ID4154) => Min Interval: 0, Max Interval: 38
FullProfessor(ID4891) => Min Interval: 7, Max Interval: 50
FullProfessor(ID4911) => Min Interval: 0, Max Interval: 28
FullProfessor(ID4922) => Min Interval: 13, Max Interval: 49
FullProfessor(ID4980) => Min Interval: 9, Max Interval: 39
FullProfessor(ID5061) => Min Interval: 6, Max Interval: 43
FullProfessor(ID5066) => Min Interval: 4, Max Interval: 38
FullProfessor(ID5136) => Min Interval: 14, Max Interval: 36
FullProfessor(ID5232) => Min Interval: 25, Max Interval: 40
FullProfessor(ID5261) => Min Interval: 2, Max Interval: 39
FullProfessor(ID5267) => Min Interval: 14, Max Interval: 50
FullProfessor(ID6266) => Min Interval: 12, Max Interval: 49
FullProfessor(ID6268) => Min Interval: 2, Max Interval: 41
FullProfessor(ID6332) => Min Interval: 5, Max Interval: 47
FullProfessor(ID6396) => Min Interval: 1, Max Interval: 48
FullProfessor(ID6413) => Min Interval: 3, Max Interval: 35
FullProfessor(ID6442) => Min Interval: 18, Max Interval: 44
FullProfessor(ID6517) => Min Interval: 3, Max Interval: 46
FullProfessor(ID6593) => Min Interval: 11, Max Interval: 49
FullProfessor(ID6762) => Min Interval: 2, Max Interval: 44
FullProfessor(ID6802) => Min Interval: 4, Max Interval: 38
FullProfessor(ID7628) => Min Interval: 1, Max Interval: 29
FullProfessor(ID7648) => Min Interval: 8, Max Interval: 39
FullProfessor(ID7764) => Min Interval: 1, Max Interval: 47
FullProfessor(ID7836) => Min Interval: 13, Max Interval: 48
FullProfessor(ID7879) => Min Interval: 9, Max Interval: 43
FullProfessor(ID7908) => Min Interval: 4, Max Interval: 44
FullProfessor(ID7916) => Min Interval: 13, Max Interval: 36
FullProfessor(ID8190) => Min Interval: 25, Max Interval: 47
FullProfessor(ID8851) => Min Interval: 1, Max Interval: 18
FullProfessor(ID8888) => Min Interval: 2, Max Interval: 44
FullProfessor(ID8947) => Min Interval: 3, Max Interval: 40
FullProfessor(ID8960) => Min Interval: 17, Max Interval: 46
FullProfessor(ID8991) => Min Interval: 1, Max Interval: 20
FullProfessor(ID9094) => Min Interval: 6, Max Interval: 36
FullProfessor(ID9106) => Min Interval: 13, Max Interval: 39
FullProfessor(ID9125) => Min Interval: 0, Max Interval: 35
FullProfessor(ID9135) => Min Interval: 6, Max Interval: 28
FullProfessor(ID9950) => Min Interval: 14, Max Interval: 49
FullProfessor(ID9962) => Min Interval: 3, Max Interval: 22
FullProfessor(ID9997) => Min Interval: 9, Max Interval: 49
