Stored fact information:
SmartStudent(ID0) => Min Interval: 22, Max Interval: 40
SmartStudent(ID2) => Min Interval: 31, Max Interval: 42
SmartStudent(ID6) => Min Interval: 22, Max Interval: 49
SmartStudent(ID8) => Min Interval: 22, Max Interval: 29
SmartStudent(ID10) => Min Interval: 29, Max Interval: 46
SmartStudent(ID13) => Min Interval: 22, Max Interval: 27
SmartStudent(ID14) => Min Interval: 28, Max Interval: 31
SmartStudent(ID20) => Min Interval: 22, Max Interval: 23
SmartStudent(ID22) => Min Interval: 37, Max Interval: 46
SmartStudent(ID28) => Min Interval: 31, Max Interval: 34
SmartStudent(ID29) => Min Interval: 22, Max Interval: 27
SmartStudent(ID31) => Min Interval: 24, Max Interval: 37
SmartStudent(ID32) => Min Interval: 22, Max Interval: 23
SmartStudent(ID33) => Min Interval: 31, Max Interval: 45
SmartStudent(ID36) => Min Interval: 22, Max Interval: 41
SmartStudent(ID38) => Min Interval: 22, Max Interval: 35
SmartStudent(ID41) => Min Interval: 39, Max Interval: 42
SmartStudent(ID45) => Min Interval: 28, Max Interval: 42
SmartStudent(ID47) => Min Interval: 34, Max Interval: 43
SmartStudent(ID50) => Min Interval: 27, Max Interval: 46
SmartStudent(ID51) => Min Interval: 22, Max Interval: 24
SmartStudent(ID53) => Min Interval: 22, Max Interval: 24
SmartStudent(ID54) => Min Interval: 22, Max Interval: 45
SmartStudent(ID57) => Min Interval: 22, Max Interval: 41
SmartStudent(ID59) => Min Interval: 22, Max Interval: 35
SmartStudent(ID61) => Min Interval: 27, Max Interval: 35
SmartStudent(ID64) => Min Interval: 22, Max Interval: 42
SmartStudent(ID65) => Min Interval: 36, Max Interval: 42
SmartStudent(ID71) => Min Interval: 27, Max Interval: 47
SmartStudent(ID75) => Min Interval: 40, Max Interval: 46
SmartStudent(ID77) => Min Interval: 28, Max Interval: 29
SmartStudent(ID86) => Min Interval: 22, Max Interval: 41
SmartStudent(ID88) => Min Interval: 22, Max Interval: 41
SmartStudent(ID89) => Min Interval: 22, Max Interval: 24
SmartStudent(ID90) => Min Interval: 26, Max Interval: 39
SmartStudent(ID97) => Min Interval: 23, Max Interval: 34
SmartStudent(ID100) => Min Interval: 22, Max Interval: 22
SmartStudent(ID106) => Min Interval: 36, Max Interval: 37
SmartStudent(ID117) => Min Interval: 40, Max Interval: 48
SmartStudent(ID119) => Min Interval: 40, Max Interval: 41
SmartStudent(ID120) => Min Interval: 22, Max Interval: 39
SmartStudent(ID123) => Min Interval: 22, Max Interval: 34
SmartStudent(ID125) => Min Interval: 22, Max Interval: 46
SmartStudent(ID133) => Min Interval: 22, Max Interval: 38
SmartStudent(ID135) => Min Interval: 37, Max Interval: 40
SmartStudent(ID138) => Min Interval: 37, Max Interval: 48
SmartStudent(ID140) => Min Interval: 22, Max Interval: 37
SmartStudent(ID144) => Min Interval: 26, Max Interval: 33
SmartStudent(ID145) => Min Interval: 42, Max Interval: 42
SmartStudent(ID148) => Min Interval: 22, Max Interval: 33
SmartStudent(ID150) => Min Interval: 22, Max Interval: 43
SmartStudent(ID153) => Min Interval: 29, Max Interval: 46
SmartStudent(ID156) => Min Interval: 22, Max Interval: 30
SmartStudent(ID161) => Min Interval: 29, Max Interval: 42
SmartStudent(ID165) => Min Interval: 25, Max Interval: 26
SmartStudent(ID168) => Min Interval: 22, Max Interval: 35
SmartStudent(ID173) => Min Interval: 22, Max Interval: 47
SmartStudent(ID174) => Min Interval: 22, Max Interval: 50
SmartStudent(ID182) => Min Interval: 22, Max Interval: 24
SmartStudent(ID187) => Min Interval: 22, Max Interval: 38
SmartStudent(ID190) => Min Interval: 22, Max Interval: 27
SmartStudent(ID193) => Min Interval: 22, Max Interval: 43
SmartStudent(ID194) => Min Interval: 22, Max Interval: 40
SmartStudent(ID196) => Min Interval: 22, Max Interval: 42
SmartStudent(ID198) => Min Interval: 22, Max Interval: 47
SmartStudent(ID203) => Min Interval: 31, Max Interval: 38
SmartStudent(ID207) => Min Interval: 22, Max Interval: 40
SmartStudent(ID209) => Min Interval: 22, Max Interval: 36
SmartStudent(ID211) => Min Interval: 22, Max Interval: 45
SmartStudent(ID218) => Min Interval: 36, Max Interval: 39
SmartStudent(ID219) => Min Interval: 22, Max Interval: 23
SmartStudent(ID222) => Min Interval: 27, Max Interval: 37
SmartStudent(ID224) => Min Interval: 22, Max Interval: 34
SmartStudent(ID228) => Min Interval: 22, Max Interval: 41
SmartStudent(ID229) => Min Interval: 25, Max Interval: 35
SmartStudent(ID232) => Min Interval: 31, Max Interval: 34
SmartStudent(ID233) => Min Interval: 26, Max Interval: 42
SmartStudent(ID237) => Min Interval: 22, Max Interval: 29
SmartStudent(ID242) => Min Interval: 22, Max Interval: 46
SmartStudent(ID245) => Min Interval: 38, Max Interval: 46
SmartStudent(ID247) => Min Interval: 22, Max Interval: 46
SmartStudent(ID251) => Min Interval: 22, Max Interval: 41
SmartStudent(ID253) => Min Interval: 22, Max Interval: 25
SmartStudent(ID254) => Min Interval: 22, Max Interval: 36
SmartStudent(ID259) => Min Interval: 22, Max Interval: 41
SmartStudent(ID267) => Min Interval: 22, Max Interval: 48
SmartStudent(ID271) => Min Interval: 22, Max Interval: 41
SmartStudent(ID275) => Min Interval: 32, Max Interval: 37
SmartStudent(ID276) => Min Interval: 27, Max Interval: 48
SmartStudent(ID277) => Min Interval: 36, Max Interval: 50
SmartStudent(ID280) => Min Interval: 22, Max Interval: 33
SmartStudent(ID282) => Min Interval: 22, Max Interval: 31
SmartStudent(ID288) => Min Interval: 22, Max Interval: 44
SmartStudent(ID289) => Min Interval: 22, Max Interval: 27
SmartStudent(ID292) => Min Interval: 22, Max Interval: 44
SmartStudent(ID295) => Min Interval: 22, Max Interval: 35
SmartStudent(ID298) => Min Interval: 22, Max Interval: 46
SmartStudent(ID299) => Min Interval: 22, Max Interval: 31
SmartStudent(ID301) => Min Interval: 22, Max Interval: 34
SmartStudent(ID303) => Min Interval: 22, Max Interval: 37
SmartStudent(ID306) => Min Interval: 33, Max Interval: 42
SmartStudent(ID312) => Min Interval: 26, Max Interval: 29
SmartStudent(ID315) => Min Interval: 22, Max Interval: 30
SmartStudent(ID321) => Min Interval: 22, Max Interval: 28
SmartStudent(ID327) => Min Interval: 36, Max Interval: 41
SmartStudent(ID333) => Min Interval: 22, Max Interval: 31
SmartStudent(ID334) => Min Interval: 22, Max Interval: 42
SmartStudent(ID341) => Min Interval: 22, Max Interval: 31
